m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	929.41    	35.67    	893.74     	96.64      	1.000        	0.000       
06     	905.01    	38.83    	866.18     	94.15      	1.000        	0.000       
07     	901.23    	41.54    	859.70     	95.44      	1.000        	0.000       
08     	1335.34   	44.44    	1290.90    	171.61     	1.000        	0.000       
09     	903.85    	46.89    	856.96     	99.02      	1.000        	0.000       
10     	851.45    	49.45    	802.00     	91.34      	1.000        	0.000       
11     	2008.37   	51.86    	1956.51    	224.95     	0.990        	0.010       
12     	1536.95   	54.21    	1482.74    	180.65     	0.990        	0.010       
13     	1530.58   	56.43    	1474.15    	214.92     	0.990        	0.010       
14     	3257.58   	58.76    	3198.82    	457.65     	0.950        	0.040       
15     	962.84    	60.59    	902.25     	115.45     	1.000        	0.000       
16     	3333.65   	62.69    	3270.96    	515.35     	0.960        	0.040       
17     	3931.02   	64.56    	3866.46    	586.45     	0.940        	0.050       
18     	2832.89   	83.16    	2749.73    	377.96     	0.990        	0.010       
19     	2897.24   	79.85    	2817.38    	429.69     	0.980        	0.020       
20     	2657.81   	74.84    	2582.97    	405.42     	0.950        	0.030       
21     	4946.77   	76.49    	4870.28    	736.76     	0.940        	0.050       
22     	8070.53   	77.80    	7992.73    	1275.91    	0.880        	0.090       
23     	7987.48   	78.73    	7908.75    	1240.43    	0.830        	0.090       
24     	4796.69   	80.66    	4716.03    	717.44     	0.830        	0.060       
25     	6525.10   	81.66    	6443.44    	1029.56    	0.810        	0.090       
26     	6243.59   	82.03    	6161.56    	919.22     	0.740        	0.070       
27     	7179.73   	79.93    	7099.81    	1070.95    	0.660        	0.100       
28     	5846.78   	83.40    	5763.38    	872.36     	0.690        	0.060       
29     	6313.27   	84.93    	6228.33    	913.62     	0.640        	0.090       
30     	8193.12   	84.92    	8108.20    	1180.73    	0.460        	0.100       
31     	3169.44   	79.27    	3090.17    	442.58     	0.480        	0.010       
32     	2615.90   	79.89    	2536.01    	378.33     	0.300        	0.000       
33     	1234.45   	79.25    	1155.20    	166.26     	0.300        	0.000       
34     	965.47    	78.27    	887.20     	125.79     	0.190        	0.000       
35     	348.39    	78.87    	269.52     	35.95      	0.110        	0.000       
36     	381.71    	76.08    	305.63     	43.43      	0.090        	0.000       
37     	175.43    	75.21    	100.22     	14.57      	0.040        	0.000       
38     	143.05    	76.33    	66.72      	8.78       	0.030        	0.000       
39     	118.99    	73.46    	45.53      	6.32       	0.020        	0.000       
40     	83.62     	72.03    	11.60      	1.56       	0.010        	0.000       
41     	84.43     	71.69    	12.75      	1.90       	0.020        	0.000       
42     	76.06     	70.55    	5.51       	0.70       	0.000        	0.000       
43     	70.50     	68.66    	1.84       	0.28       	0.000        	0.000       
44     	67.37     	67.37    	0.00       	0.00       	0.000        	0.000       
45     	67.60     	67.60    	0.00       	0.00       	0.000        	0.000       
46     	66.71     	66.71    	0.00       	0.00       	0.000        	0.000       
47     	66.36     	66.36    	0.00       	0.00       	0.000        	0.000       
48     	64.31     	64.31    	0.00       	0.00       	0.000        	0.000       
49     	64.36     	64.36    	0.00       	0.00       	0.000        	0.000       
50     	62.77     	62.77    	0.00       	0.00       	0.000        	0.000       
51     	62.41     	62.41    	0.00       	0.00       	0.000        	0.000       
52     	60.95     	60.95    	0.00       	0.00       	0.000        	0.000       
53     	58.77     	58.77    	0.00       	0.00       	0.000        	0.000       
54     	58.89     	58.89    	0.00       	0.00       	0.000        	0.000       
55     	58.56     	58.56    	0.00       	0.00       	0.000        	0.000       
56     	60.45     	60.44    	0.00       	0.00       	0.000        	0.000       
57     	57.46     	57.46    	0.00       	0.00       	0.000        	0.000       
58     	57.64     	57.64    	0.00       	0.00       	0.000        	0.000       
59     	55.47     	55.47    	0.00       	0.00       	0.000        	0.000       
60     	55.89     	55.89    	0.00       	0.00       	0.000        	0.000       
65     	51.48     	51.48    	0.00       	0.00       	0.000        	0.000       
70     	47.47     	47.47    	0.00       	0.00       	0.000        	0.000       
