time_overall_start	time_search_start	time_end     	assignments	solution	timeout
14944691.7183     	14944761.1267    	14944761.127 	0          	False   	False  
14944761.2375     	14944824.6242    	14944824.6248	0          	False   	False  
14944824.7709     	14944895.1136    	14944895.1142	0          	False   	False  
14944895.2711     	14944946.991     	14944946.9916	0          	False   	False  
14944947.1425     	14945004.3298    	14945004.3304	0          	False   	False  
14945004.4557     	14945068.0653    	14945068.0662	0          	False   	False  
14945068.2092     	14945127.352     	14945127.3523	0          	False   	False  
14945127.4734     	14945185.3254    	14945185.326 	0          	False   	False  
14945185.4414     	14945243.8555    	14945243.8564	0          	False   	False  
14945243.9673     	14945311.4437    	14945311.4443	0          	False   	False  
14945311.5681     	14945355.06      	14945355.0603	0          	False   	False  
14945355.2184     	14945402.7986    	14945402.7989	0          	False   	False  
14945402.9179     	14945460.2139    	14945460.2145	0          	False   	False  
14945460.3483     	14945513.9956    	14945513.9959	0          	False   	False  
14945514.1181     	14945575.5392    	14945575.5398	0          	False   	False  
14945575.6714     	14945634.4994    	14945634.5   	0          	False   	False  
14945634.6403     	14945695.9933    	14945695.9939	0          	False   	False  
14945696.1132     	14945762.4339    	14945762.4345	0          	False   	False  
14945762.5682     	14945824.7887    	14945824.789 	0          	False   	False  
14945824.9076     	14945887.641     	14945887.6419	0          	False   	False  
14945887.7771     	14945942.8217    	14945942.822 	0          	False   	False  
14945942.9798     	14945994.6154    	14945994.616 	0          	False   	False  
14945994.7365     	14946061.1807    	14946061.1813	0          	False   	False  
14946061.3198     	14946143.0492    	14946143.0498	0          	False   	False  
14946143.1868     	14946205.4603    	14946205.4612	0          	False   	False  
14946205.6136     	14946267.0147    	14946267.0153	0          	False   	False  
14946267.1876     	14946321.9292    	14946321.9301	0          	False   	False  
14946322.0473     	14946376.7225    	14946376.7231	0          	False   	False  
14946376.837      	14946443.0324    	14946443.033 	0          	False   	False  
14946443.1782     	14946501.186     	14946501.1869	0          	False   	False  
14946501.3345     	14946565.7681    	14946565.7688	0          	False   	False  
14946565.8998     	14946629.4822    	14946629.4828	0          	False   	False  
14946629.6084     	14946691.1253    	14946691.1262	0          	False   	False  
14946691.2524     	14946748.4683    	14946748.4692	0          	False   	False  
14946748.6005     	14946817.842     	14946817.8426	0          	False   	False  
14946817.9691     	14946887.7389    	14946887.7398	0          	False   	False  
14946887.8633     	14946946.3422    	14946946.3428	0          	False   	False  
14946946.488      	14947013.7809    	14947013.7818	0          	False   	False  
14947013.9376     	14947082.4613    	14947082.4619	0          	False   	False  
14947082.5875     	14947146.6121    	14947146.6124	0          	False   	False  
14947146.723      	14947210.9735    	14947210.9741	0          	False   	False  
14947211.0991     	14947284.789     	14947284.7896	0          	False   	False  
14947285.4095     	14947339.4975    	14947339.4984	0          	False   	False  
14947339.6541     	14947402.0004    	14947402.001 	0          	False   	False  
14947402.1369     	14947467.4296    	14947467.4302	0          	False   	False  
14947467.5844     	14947539.7156    	14947539.7165	0          	False   	False  
14947539.8593     	14947589.3014    	14947589.3024	0          	False   	False  
14947589.4096     	14947645.268     	14947645.2686	0          	False   	False  
14947645.4234     	14947696.7367    	14947696.7373	0          	False   	False  
14947696.8746     	14947759.3116    	14947759.3122	0          	False   	False  
14947759.4682     	14947827.8666    	14947827.8673	0          	False   	False  
14947827.9883     	14947873.9004    	14947873.9013	0          	False   	False  
14947874.0477     	14947939.7591    	14947939.7597	0          	False   	False  
14947939.9211     	14948005.4674    	14948005.468 	0          	False   	False  
14948005.5891     	14948063.2222    	14948063.2225	0          	False   	False  
14948063.3523     	14948102.3991    	14948102.4   	0          	False   	False  
14948102.5545     	14948165.0677    	14948165.0683	0          	False   	False  
14948165.1969     	14948229.774     	14948229.7743	0          	False   	False  
14948229.8848     	14948291.9182    	14948291.9185	0          	False   	False  
14948292.108      	14948354.1468    	14948354.1474	0          	False   	False  
14948354.3139     	14948417.7922    	14948417.7928	0          	False   	False  
14948417.8991     	14948485.8051    	14948485.806 	0          	False   	False  
14948486.0117     	14948535.9783    	14948535.9789	0          	False   	False  
14948536.1301     	14948574.6621    	14948574.6627	0          	False   	False  
14948574.7943     	14948622.3238    	14948622.3245	0          	False   	False  
14948622.4254     	14948667.4149    	14948667.4152	0          	False   	False  
14948667.5754     	14948731.5452    	14948731.5458	0          	False   	False  
14948731.6657     	14948792.2268    	14948792.2277	0          	False   	False  
14948792.3536     	14948857.6602    	14948857.6608	0          	False   	False  
14948857.8544     	14948916.6182    	14948916.6189	0          	False   	False  
14948916.7812     	14948984.3405    	14948984.3411	0          	False   	False  
14948984.479      	14949047.6853    	14949047.6859	0          	False   	False  
14949047.8205     	14949102.5581    	14949102.5588	0          	False   	False  
14949102.697      	14949167.9102    	14949167.9108	0          	False   	False  
14949168.046      	14949234.7101    	14949234.711 	0          	False   	False  
14949234.9345     	14949299.2618    	14949299.2624	0          	False   	False  
14949299.3838     	14949354.8787    	14949354.879 	0          	False   	False  
14949354.9968     	14949412.7847    	14949412.7853	0          	False   	False  
14949412.9196     	14949472.694     	14949472.6946	0          	False   	False  
14949472.8193     	14949540.1794    	14949540.18  	0          	False   	False  
