time_overall_start	time_search_start	time_end     	assignments	solution	timeout
0.000602406191049 	201.874145901    	1756.04868526	108        	True    	False  
1761.1215478      	1958.04662564    	3562.55792512	110        	True    	False  
3567.30217508     	3771.89528132    	5346.60494413	108        	True    	False  
5355.00489606     	5567.28078966    	7612.54950649	151        	True    	False  
7615.00129969     	7765.49260712    	7765.49320953	0          	False   	False  
7767.56036637     	7939.97474111    	7939.97534351	0          	False   	False  
7940.35034137     	8142.01816315    	68152.3217186	4931       	False   	True   
68153.0614734     	68353.2892432    	69993.5277479	108        	True    	False  
69995.9202041     	70170.7348663    	70170.7354687	0          	False   	False  
70171.1017316     	70376.7101935    	72048.9961051	113        	True    	False  
72059.3204436     	72265.4385412    	74569.9913163	168        	True    	False  
74585.6990577     	74790.91204      	134799.000548	4866       	False   	True   
134800.845417     	135009.368621    	195018.201101	5176       	False   	True   
195021.349577     	195217.415322    	195217.417732	0          	False   	False  
195219.417419     	195423.415348    	255429.971636	4983       	False   	True   
255430.388802     	255628.258152    	257218.911097	108        	True    	False  
257222.279752     	257418.270197    	317426.174368	5536       	False   	True   
317426.720449     	317625.916599    	319469.120508	124        	True    	False  
319471.427423     	319672.878077    	379682.436456	5001       	False   	True   
379682.801514     	379884.819334    	439894.143076	5163       	False   	True   
439900.33792      	440096.588905    	442264.51204 	159        	True    	False  
442266.793955     	442459.504298    	502467.15064 	4828       	False   	True   
502467.517505     	502664.812159    	562682.847598	5363       	False   	True   
562683.242777     	562885.455776    	573218.247245	793        	True    	False  
573233.976372     	573446.094435    	580392.549561	562        	True    	False  
580394.899848     	580598.889043    	640607.416102	4952       	False   	True   
640615.318768     	640815.742621    	642442.636623	108        	True    	False  
642445.519438     	642639.143029    	644233.396857	108        	True    	False  
644235.653471     	644432.905354    	704440.255312	5269       	False   	True   
704440.641153     	704638.777971    	764644.895105	5116       	False   	True   
764645.300524     	764843.911435    	824844.792756	5322       	False   	True   
824845.420764     	825046.319916    	826670.71574 	108        	True    	False  
826673.336207     	826873.253436    	828810.546265	139        	True    	False  
828812.810409     	829015.945993    	889025.069736	4880       	False   	True   
