time_overall_start	time_search_start	time_end     	assignments	solution	timeout
410537.132167     	410646.152025    	410702.197789	133        	True    	False  
410710.887799     	410821.343191    	410934.654892	249        	True    	False  
410943.372914     	411053.465055    	411149.803058	133        	True    	False  
411158.988849     	411269.937009    	411335.550489	133        	True    	False  
411344.165199     	411453.19319     	411514.245852	133        	True    	False  
411522.862369     	411632.646078    	411717.630833	133        	True    	False  
411726.31512      	411837.254847    	411895.666862	133        	True    	False  
411904.427655     	412017.542369    	412099.347624	133        	True    	False  
412107.948177     	412220.769218    	412292.2914  	133        	True    	False  
412301.099783     	412412.329568    	412501.808574	133        	True    	False  
412510.595873     	412620.795845    	412698.964072	133        	True    	False  
412707.805588     	412820.32151     	412897.580707	133        	True    	False  
412906.568908     	413016.715868    	413072.63091 	133        	True    	False  
413081.270619     	413190.297104    	413263.012049	133        	True    	False  
413271.68218      	413382.284559    	413449.343212	133        	True    	False  
413457.96003      	413573.600031    	413639.376461	133        	True    	False  
413648.024002     	413759.769146    	413828.710619	133        	True    	False  
413837.344304     	413947.196085    	414012.110473	133        	True    	False  
414020.769761     	414134.016101    	414208.436157	159        	True    	False  
414217.165022     	414326.23488     	414392.466429	133        	True    	False  
414401.201318     	414511.774782    	414583.994549	133        	True    	False  
414592.630645     	414703.474589    	414765.725738	133        	True    	False  
414774.319665     	414885.629871    	414974.409484	133        	True    	False  
414983.143771     	415092.377182    	415212.167762	232        	True    	False  
415220.834881     	415331.649608    	415414.229557	133        	True    	False  
415423.01023      	415532.40629     	415592.688476	133        	True    	False  
415601.339631     	415713.52935     	415785.563878	133        	True    	False  
415794.186118     	415904.565004    	415969.725474	133        	True    	False  
415978.473316     	416091.224779    	416187.293506	133        	True    	False  
416195.953999     	416306.960291    	416385.449601	137        	True    	False  
416394.095335     	416505.680841    	416584.203283	133        	True    	False  
416592.809258     	416704.973978    	416752.404429	133        	True    	False  
416761.159499     	416873.382652    	416929.273899	145        	True    	False  
416937.916319     	417046.20576     	417102.995495	133        	True    	False  
417111.672252     	417220.692412    	417372.840336	344        	True    	False  
417381.599623     	417491.227008    	417578.158739	135        	True    	False  
417586.826762     	417700.972494    	417779.099457	135        	True    	False  
417787.749709     	417899.004494    	417955.977059	133        	True    	False  
417964.644479     	418077.480581    	418154.88315 	145        	True    	False  
418163.640329     	418274.995414    	418337.157709	133        	True    	False  
418345.820009     	418457.437442    	418519.614496	133        	True    	False  
418528.244567     	418638.905681    	418727.164212	205        	True    	False  
418735.761151     	418848.081291    	418925.857954	140        	True    	False  
418934.465736     	419042.859996    	419108.816847	133        	True    	False  
419117.526436     	419230.739041    	419292.437182	133        	True    	False  
419301.14165      	419413.587091    	419941.581358	1412       	True    	False  
419950.265345     	420059.739718    	420128.715528	133        	True    	False  
420137.339575     	420248.714842    	420315.313858	133        	True    	False  
420323.983688     	420434.411972    	420492.33905 	135        	True    	False  
