time_overall_start	time_search_start	time_end     	assignments	solution	timeout
25599452.6754     	25599455.7438    	25600094.6525	2952       	True    	False  
25600099.5925     	25600101.9795    	25605072.7291	27800      	True    	False  
25605076.3773     	25605078.6547    	25665078.7369	319786     	False   	True   
25665079.9267     	25665082.1878    	25665210.7943	475        	True    	False  
25665214.4244     	25665216.6557    	25670734.6359	26629      	True    	False  
25670738.1943     	25670740.4093    	25672015.5737	8351       	True    	False  
25672019.1695     	25672021.3936    	25732021.4661	280508     	False   	True   
25732022.6258     	25732024.817     	25732083.3456	269        	True    	False  
25732086.8293     	25732089.0344    	25792089.2501	292567     	False   	True   
25792090.4034     	25792092.6287    	25821563.2227	133508     	True    	False  
25821566.8001     	25821569.0223    	25881569.2091	371207     	False   	True   
25881570.3856     	25881572.5669    	25941572.6768	355382     	False   	True   
25941573.8576     	25941575.9964    	25941594.399 	62         	True    	False  
25941597.8728     	25941600.1173    	26001600.1764	232774     	False   	True   
26001601.3857     	26001603.6487    	26003483.1707	6151       	True    	False  
26003486.7138     	26003488.8812    	26010221.5587	28201      	True    	False  
26010225.0888     	26010227.293     	26011522.8428	6925       	True    	False  
26011526.3602     	26011528.5804    	26011574.0106	231        	True    	False  
26011577.541      	26011579.7392    	26012034.2347	1430       	True    	False  
26012037.7531     	26012039.8925    	26072039.9934	300853     	False   	True   
26072041.1766     	26072043.3868    	26073711.2869	9771       	True    	False  
26073714.8516     	26073717.0519    	26133717.3709	302491     	False   	True   
26133718.5405     	26133720.7618    	26193720.9269	278961     	False   	True   
26193722.216      	26193724.4314    	26194046.9988	1593       	True    	False  
26194050.5813     	26194052.7636    	26196932.8715	14451      	True    	False  
26196936.429      	26196938.6199    	26256939.0272	220996     	False   	True   
26256939.6844     	26256940.647     	26316940.7226	236793     	False   	True   
26316941.875      	26316944.0624    	26376944.1455	245108     	False   	True   
26376945.3169     	26376947.509     	26378527.0404	9690       	True    	False  
26378530.584      	26378532.7879    	26378985.5374	2407       	True    	False  
26378989.1049     	26378991.2898    	26392110.0003	67656      	True    	False  
26392113.5683     	26392115.7617    	26397601.0104	30914      	True    	False  
26397604.6014     	26397606.8119    	26400590.3873	11078      	True    	False  
26400593.9463     	26400596.1496    	26400620.2326	151        	True    	False  
26400623.7753     	26400625.9753    	26460626.0841	303199     	False   	True   
26460627.2949     	26460629.4738    	26460760.0953	846        	True    	False  
26460763.6758     	26460765.8604    	26482947.9994	144800     	True    	False  
26482951.5554     	26482953.7617    	26483187.3065	1375       	True    	False  
26483190.8857     	26483193.0965    	26483770.2631	3365       	True    	False  
26483773.8299     	26483776.0513    	26543776.1474	329542     	False   	True   
26543777.4142     	26543779.6398    	26543811.8869	202        	True    	False  
26543815.4465     	26543817.7004    	26543850.5981	185        	True    	False  
26543854.0743     	26543856.2954    	26544161.4394	1698       	True    	False  
26544165.0469     	26544167.2626    	26604167.3683	264056     	False   	True   
26604168.5551     	26604170.7605    	26607795.1861	19754      	True    	False  
26607798.7554     	26607800.9584    	26667801.0382	398516     	False   	True   
26667802.356      	26667804.5556    	26668496.433 	3034       	True    	False  
26668500.0134     	26668502.2197    	26669860.9406	7089       	True    	False  
26669864.5053     	26669866.7333    	26671911.6433	8999       	True    	False  
26671915.2152     	26671917.43      	26690553.6739	113745     	True    	False  
26690557.2447     	26690559.4552    	26713850.6813	123561     	True    	False  
26713854.2412     	26713856.4264    	26714218.5741	1282       	True    	False  
26714222.1316     	26714224.3571    	26714305.4627	411        	True    	False  
26714309.016      	26714311.2184    	26774311.3943	253589     	False   	True   
