time_overall_start	time_search_start	time_end     	assignments	solution	timeout
14074254.3055     	14074255.6169    	14074261.2491	41         	False   	False  
14074263.8843     	14074265.1428    	14074265.6325	2          	False   	False  
14074266.9726     	14074268.612     	14074366.2148	875        	False   	False  
14074366.8175     	14074367.8286    	14074370.8961	22         	False   	False  
14074371.6051     	14074372.8298    	14074375.8454	24         	False   	False  
14074376.5334     	14074377.6515    	14074395.848 	161        	False   	False  
14074396.586      	14074398.0453    	14074412.1485	116        	False   	False  
14074412.8642     	14074414.0573    	14074496.6369	805        	False   	False  
14074497.3333     	14074498.4417    	14074499.4167	6          	False   	False  
14074499.9911     	14074501.0911    	14074509.5118	71         	False   	False  
14074510.0886     	14074511.204     	14074516.6028	40         	False   	False  
14074517.1949     	14074518.2934    	14074609.9793	848        	False   	False  
14074610.6766     	14074611.8613    	14074613.6805	12         	False   	False  
14074614.2679     	14074615.5392    	14074615.9618	2          	False   	False  
14074616.5085     	14074617.6278    	14074618.5736	6          	False   	False  
14074619.1356     	14074620.2537    	14074684.4066	641        	False   	False  
14074685.1247     	14074686.2385    	14074701.4107	120        	False   	False  
14074702.2839     	14074703.4282    	14074709.1345	44         	False   	False  
14074709.6387     	14074710.6426    	14074711.7595	7          	False   	False  
14074712.3622     	14074713.3803    	14074713.5107	0          	False   	False  
14074714.1718     	14074715.2727    	14074717.6567	17         	False   	False  
14074718.1486     	14074719.1516    	14074720.6778	10         	False   	False  
14074721.3197     	14074722.6362    	14074729.7705	57         	False   	False  
14074730.2744     	14074731.4323    	14074761.8336	273        	False   	False  
14074762.5574     	14074763.7733    	14074770.0287	49         	False   	False  
14074770.6832     	14074771.8896    	14074776.188 	32         	False   	False  
14074776.8447     	14074778.0007    	14074852.9584	673        	False   	False  
14074853.5792     	14074854.6596    	14075064.1894	1991       	False   	False  
14075064.8981     	14075065.9939    	14075066.4496	2          	False   	False  
14075067.0834     	14075068.2099    	14075453.6299	3844       	False   	False  
14075454.3432     	14075455.4591    	14075585.6165	1416       	True    	False  
14075587.6656     	14075588.7861    	14075598.8924	77         	False   	False  
14075599.4854     	14075600.6243    	14075632.234 	274        	False   	False  
14075632.8973     	14075634.0166    	14075643.2632	80         	False   	False  
14075643.8478     	14075644.8526    	14075662.3305	162        	False   	False  
14075662.9423     	14075664.1149    	14075672.2013	64         	False   	False  
14075672.7335     	14075673.7296    	14075740.9129	583        	False   	False  
14075741.9346     	14075743.0439    	14075786.7148	368        	False   	False  
14075787.3862     	14075788.4907    	14075797.1349	71         	False   	False  
14075797.7397     	14075798.8626    	14075801.4472	19         	False   	False  
14075802.0665     	14075803.2788    	14075816.2191	102        	False   	False  
14075816.8044     	14075817.9155    	14076555.1571	6870       	False   	False  
14076555.8598     	14076556.9872    	14076560.067 	23         	False   	False  
14076560.6552     	14076561.8377    	14076563.2185	9          	False   	False  
14076563.7847     	14076564.8935    	14076594.3538	310        	False   	False  
14076594.946      	14076595.9493    	14076596.2222	1          	False   	False  
14076596.6939     	14076597.6887    	14076621.7513	201        	False   	False  
14076622.4356     	14076623.5958    	14076713.7318	829        	False   	False  
14076714.4342     	14076715.5766    	14076716.1345	3          	False   	False  
14076716.698      	14076717.7941    	14076764.1101	392        	False   	False  
14076764.8272     	14076765.9553    	14076790.7756	228        	False   	False  
14076791.4009     	14076792.6117    	14076881.6181	850        	False   	False  
14076882.3582     	14076883.4266    	14076884.3992	6          	False   	False  
