time_overall_start	time_search_start	time_end     	assignments	solution	timeout
4235357.4341      	4235380.35053    	4235419.7488 	571        	True    	False  
4235426.21985     	4235427.23069    	4235438.60713	192        	True    	False  
4235452.60163     	4235463.27114    	4235468.69852	95         	True    	False  
4235472.15724     	4235473.10121    	4235484.18127	210        	True    	False  
4235496.98902     	4235498.11643    	4235510.88894	158        	True    	False  
4235512.79345     	4235513.66543    	4235525.48103	169        	True    	False  
4235527.83704     	4235528.73884    	4235534.55086	98         	True    	False  
4235541.03184     	4235546.83934    	4235551.55859	89         	True    	False  
4235559.13114     	4235560.09228    	4235563.23563	63         	True    	False  
4235565.04797     	4235566.63109    	4235579.6    	268        	True    	False  
4235586.76532     	4235587.79905    	4235592.81619	61         	True    	False  
4235595.42942     	4235602.43541    	4235606.37153	78         	True    	False  
4235614.99106     	4235616.1019     	4235621.01542	82         	True    	False  
4235624.67233     	4235627.20695    	4235631.74126	91         	True    	False  
4235636.02467     	4235637.26593    	4235644.46137	118        	True    	False  
4235655.32607     	4235662.24531    	4235668.78985	136        	True    	False  
4235671.55399     	4235672.74585    	4235676.05005	66         	True    	False  
4235677.93949     	4235679.03256    	4235685.64638	135        	True    	False  
4235690.55629     	4235692.70598    	4235703.8779 	217        	True    	False  
4235707.55167     	4235708.53811    	4235718.92721	176        	True    	False  
4235727.62445     	4235728.5871     	4235741.38672	212        	True    	False  
4235743.32135     	4235744.15237    	4235767.78296	367        	True    	False  
4235771.08926     	4235773.37027    	4235778.29374	91         	True    	False  
4235779.81361     	4235780.8877     	4235792.34818	209        	True    	False  
4235794.95238     	4235800.8924     	4235804.76558	76         	True    	False  
4235806.41858     	4235807.4261     	4235814.94172	114        	True    	False  
4235824.25552     	4235825.32118    	4235834.68619	168        	True    	False  
4235841.83404     	4235843.0512     	4235851.66832	140        	True    	False  
4235859.20322     	4235860.23815    	4235867.70738	139        	True    	False  
4235870.43628     	4235873.78476    	4235879.00973	107        	True    	False  
4235886.79613     	4235895.94035    	4235917.24385	337        	True    	False  
4235945.81567     	4235965.85983    	4235971.09655	88         	True    	False  
4235994.70545     	4235998.16899    	4236007.47014	119        	True    	False  
4236013.83426     	4236019.26736    	4236027.95617	120        	True    	False  
4236076.6589      	4236085.9983     	4236092.64465	103        	True    	False  
4236104.10272     	4236105.32289    	4236138.26668	414        	True    	False  
4236146.49073     	4236159.44487    	4236165.50478	129        	True    	False  
4236188.56669     	4236195.49647    	4236200.39705	85         	True    	False  
4236215.61925     	4236234.33541    	4236246.63985	202        	True    	False  
4236253.28078     	4236254.92264    	4236261.03586	118        	True    	False  
4236281.31887     	4236291.32424    	4236296.21457	96         	True    	False  
4236302.97146     	4236303.91904    	4236319.88582	229        	True    	False  
4236335.78934     	4236337.37367    	4236344.50285	141        	True    	False  
4236348.91969     	4236356.41935    	4236365.11418	148        	True    	False  
4236368.22651     	4236369.48945    	4236376.14303	125        	True    	False  
4236378.64181     	4236379.68849    	4236384.71798	74         	True    	False  
4236401.54077     	4236403.50612    	4236408.98832	103        	True    	False  
4236417.40032     	4236434.57191    	4236442.94686	155        	True    	False  
4236449.65134     	4236464.35788    	4236473.89819	160        	True    	False  
4236498.92305     	4236500.22274    	4236507.08746	116        	True    	False  
4236540.22613     	4236553.84804    	4236557.60976	68         	True    	False  
4236577.48977     	4236578.65452    	4236587.84453	149        	True    	False  
4236615.41515     	4236636.8584     	4236644.70143	100        	True    	False  
4236654.78752     	4236665.25734    	4236668.19437	59         	True    	False  
4236670.02086     	4236670.96634    	4236676.87956	103        	True    	False  
4236689.55509     	4236702.33815    	4236718.95703	276        	True    	False  
4236728.90607     	4236739.70059    	4236744.97766	106        	True    	False  
4236758.42337     	4236762.00708    	4236768.05615	76         	True    	False  
4236774.43081     	4236775.51634    	4236796.3608 	297        	True    	False  
4236798.62525     	4236799.70356    	4236809.3529 	108        	True    	False  
4236811.05831     	4236823.23595    	4236829.36333	119        	True    	False  
4236838.60394     	4236849.73911    	4236856.60172	114        	True    	False  
4236863.58572     	4236864.94354    	4236868.64413	70         	True    	False  
4236870.70707     	4236872.53296    	4236879.73442	87         	True    	False  
4236889.66388     	4236891.07382    	4236908.10053	272        	True    	False  
4236910.41557     	4236914.80229    	4296914.86826	1055842    	False   	True   
4296916.54656     	4296919.0089     	4296924.56188	112        	True    	False  
4296928.21125     	4296930.42359    	4296938.64222	151        	True    	False  
4296942.3172      	4296944.62953    	4296950.06866	108        	True    	False  
4296953.68852     	4296955.94573    	4296960.01258	80         	True    	False  
4296963.52069     	4296965.7758     	4296979.4715 	271        	True    	False  
4296983.04377     	4296985.33051    	4296989.95307	92         	True    	False  
4296993.55034     	4296995.7702     	4297001.03252	96         	True    	False  
4297004.6822      	4297007.23098    	4297011.66499	90         	True    	False  
4297015.40804     	4297017.9767     	4297026.87123	160        	True    	False  
4297030.42212     	4297032.74258    	4297037.53472	99         	True    	False  
4297041.09766     	4297043.33047    	4297047.49461	83         	True    	False  
4297050.98555     	4297053.2268     	4297060.20327	96         	True    	False  
4297063.99451     	4297066.30143    	4297071.94748	114        	True    	False  
4297075.75107     	4297080.76881    	4297085.14138	87         	True    	False  
4297089.4275      	4297091.63261    	4297097.55366	125        	True    	False  
4297101.20785     	4297103.56658    	4297107.64155	80         	True    	False  
4297111.22617     	4297113.42857    	4297118.95052	103        	True    	False  
4297122.81225     	4297125.21193    	4297135.54832	104        	True    	False  
4297142.98201     	4297145.40067    	4297151.34763	86         	True    	False  
4297155.74971     	4297158.29367    	4297165.24484	117        	True    	False  
