m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	615.75    	4.06     	611.70     	7130.65    	0.990        	0.010       
06     	49.35     	3.40     	45.95      	597.98     	1.000        	0.000       
07     	1229.51   	4.14     	1225.37    	15020.99   	0.980        	0.020       
08     	1503.04   	4.32     	1498.72    	18696.90   	0.990        	0.010       
09     	1262.77   	3.95     	1258.81    	15565.00   	0.980        	0.020       
10     	1346.25   	3.78     	1342.47    	15612.73   	0.980        	0.020       
11     	3011.10   	4.25     	3006.84    	37480.53   	0.960        	0.030       
12     	3106.28   	2.22     	3104.06    	40168.29   	0.930        	0.040       
13     	2924.12   	2.44     	2921.68    	37753.30   	0.930        	0.040       
14     	4135.24   	2.26     	4132.98    	50923.07   	0.910        	0.050       
15     	6239.05   	2.64     	6236.41    	76898.05   	0.860        	0.060       
16     	3831.41   	2.21     	3829.20    	44572.44   	0.760        	0.020       
17     	3328.18   	2.88     	3325.30    	38944.54   	0.670        	0.030       
18     	4993.78   	3.50     	4990.28    	58996.89   	0.600        	0.040       
19     	2256.61   	4.32     	2252.29    	27373.50   	0.380        	0.010       
20     	1201.08   	3.95     	1197.13    	14226.01   	0.410        	0.000       
21     	231.49    	3.30     	228.19     	2785.69    	0.250        	0.000       
22     	553.10    	3.84     	549.26     	6524.78    	0.080        	0.000       
23     	99.70     	4.45     	95.24      	1143.88    	0.120        	0.000       
24     	66.12     	4.63     	61.49      	739.19     	0.040        	0.000       
25     	76.90     	4.41     	72.49      	887.07     	0.040        	0.000       
26     	27.84     	4.55     	23.29      	278.14     	0.020        	0.000       
27     	18.12     	4.90     	13.22      	154.27     	0.020        	0.000       
28     	19.85     	5.71     	14.14      	164.39     	0.010        	0.000       
29     	8.97      	4.63     	4.34       	52.43      	0.000        	0.000       
30     	9.40      	5.33     	4.08       	48.58      	0.000        	0.000       
31     	8.98      	5.28     	3.70       	42.43      	0.000        	0.000       
32     	7.58      	5.69     	1.88       	21.48      	0.000        	0.000       
33     	7.47      	5.50     	1.98       	23.72      	0.000        	0.000       
34     	7.55      	6.15     	1.39       	12.92      	0.000        	0.000       
35     	6.27      	5.39     	0.88       	8.44       	0.000        	0.000       
40     	4.01      	3.59     	0.42       	3.72       	0.000        	0.000       
45     	2.19      	2.00     	0.20       	1.29       	0.000        	0.000       
50     	1.48      	1.31     	0.17       	1.03       	0.000        	0.000       
