time_overall_start	time_search_start	time_end     	assignments	solution	timeout
1511153.17593     	1511158.31656    	1511181.42908	292        	True    	False  
1511186.50526     	1511189.16127    	1511198.22989	136        	True    	False  
1511201.98258     	1511205.45876    	1511216.384  	146        	True    	False  
1511220.27284     	1511222.52282    	1511233.5083 	130        	True    	False  
1511262.11898     	1511264.35933    	1511400.32241	1666       	True    	False  
1511403.9248      	1511406.13171    	1511474.90632	942        	True    	False  
1511483.83819     	1511486.23125    	1571486.25866	724749     	False   	True   
1571487.87763     	1571490.0493     	1572342.50587	11818      	False   	False  
1572343.67273     	1572345.82392    	1572360.96028	210        	True    	False  
1572364.42382     	1572366.62049    	1572381.3942 	195        	True    	False  
1572384.87762     	1572387.13031    	1624368.96867	643704     	True    	False  
1624372.54034     	1624374.76773    	1624384.33214	135        	True    	False  
1624387.77911     	1624389.99807    	1624406.96454	241        	True    	False  
1624410.4341      	1624412.62957    	1633455.72269	124123     	False   	False  
1633456.87239     	1633459.18231    	1643065.78155	132691     	False   	False  
1643066.95956     	1643069.17762    	1643099.83949	412        	True    	False  
1643103.32049     	1643105.53072    	1643193.82299	1198       	True    	False  
1643197.29526     	1643199.48952    	1647518.75004	57717      	True    	False  
1647522.43707     	1647524.68977    	1647769.60282	3050       	True    	False  
1647773.16515     	1647775.35821    	1647821.61337	601        	True    	False  
1647825.126       	1647827.3543     	1649887.63498	28018      	True    	False  
1649891.18677     	1649893.34218    	1649932.66635	504        	True    	False  
1649936.14705     	1649938.38168    	1649943.46388	80         	True    	False  
1649946.85814     	1649949.06836    	1649966.40863	226        	True    	False  
1649969.87337     	1649972.10317    	1650004.4819 	443        	True    	False  
1650007.98068     	1650010.1885     	1650023.16794	174        	True    	False  
1650026.60557     	1650028.80375    	1650075.14867	631        	True    	False  
1650078.64473     	1650080.87574    	1650524.29128	5704       	True    	False  
1650527.82017     	1650530.01805    	1650552.82033	312        	True    	False  
1650556.30645     	1650558.47692    	1650586.32255	357        	True    	False  
1650589.80325     	1650592.00535    	1654103.39308	47138      	True    	False  
