m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	54.80     	27.90    	26.90      	76.79      	1.000        	0.000       
06     	66.38     	29.92    	36.47      	116.99     	1.000        	0.000       
07     	57.42     	32.13    	25.30      	76.49      	1.000        	0.000       
08     	58.96     	34.05    	24.91      	75.94      	1.000        	0.000       
09     	59.14     	36.05    	23.09      	72.64      	1.000        	0.000       
10     	71.24     	37.80    	33.43      	112.57     	1.000        	0.000       
11     	63.15     	39.48    	23.66      	79.93      	1.000        	0.000       
12     	110.33    	40.95    	69.38      	274.75     	1.000        	0.000       
13     	144.36    	42.38    	101.98     	388.67     	1.000        	0.000       
14     	168.34    	43.82    	124.53     	490.20     	0.950        	0.000       
15     	1064.00   	45.15    	1018.84    	3881.42    	0.950        	0.000       
16     	1483.79   	46.42    	1437.37    	5949.06    	0.940        	0.020       
17     	3255.72   	46.87    	3208.86    	12043.50   	0.880        	0.040       
18     	2556.43   	48.90    	2507.53    	9953.47    	0.890        	0.020       
19     	783.38    	49.90    	733.47     	2702.63    	0.870        	0.000       
20     	320.67    	50.71    	269.97     	997.08     	0.810        	0.000       
21     	679.01    	51.33    	627.67     	2214.02    	0.670        	0.000       
22     	198.83    	51.94    	146.89     	528.98     	0.560        	0.000       
23     	100.06    	51.60    	48.45      	164.62     	0.520        	0.000       
24     	88.90     	52.22    	36.68      	120.68     	0.420        	0.000       
25     	75.50     	52.24    	23.26      	74.69      	0.270        	0.000       
26     	73.81     	52.16    	21.65      	69.80      	0.250        	0.000       
27     	58.81     	49.93    	8.87       	27.73      	0.110        	0.000       
28     	55.95     	50.17    	5.78       	18.57      	0.080        	0.000       
29     	49.84     	48.41    	1.43       	4.50       	0.020        	0.000       
30     	51.09     	48.51    	2.58       	8.48       	0.030        	0.000       
31     	46.94     	46.74    	0.21       	0.65       	0.010        	0.000       
32     	46.65     	45.88    	0.78       	1.44       	0.020        	0.000       
33     	44.57     	44.57    	0.00       	0.00       	0.000        	0.000       
34     	45.27     	45.27    	0.00       	0.00       	0.000        	0.000       
35     	44.76     	44.48    	0.27       	0.46       	0.010        	0.000       
40     	42.36     	42.36    	0.00       	0.00       	0.000        	0.000       
45     	39.07     	39.07    	0.00       	0.00       	0.000        	0.000       
50     	36.19     	36.19    	0.00       	0.00       	0.000        	0.000       
55     	34.14     	34.14    	0.00       	0.00       	0.000        	0.000       
60     	31.12     	31.12    	0.00       	0.00       	0.000        	0.000       
