time_overall_start	time_search_start	time_end     	assignments	solution	timeout
125362572.914     	125362618.326    	125362618.327	0          	False   	False  
125362619.63      	125362651.64     	125362651.64 	0          	False   	False  
125362652.964     	125362702.085    	125362702.085	0          	False   	False  
125362703.351     	125362746.631    	125362746.631	0          	False   	False  
125362747.919     	125362797.111    	125362797.112	0          	False   	False  
125362798.317     	125362838.692    	125362838.692	0          	False   	False  
125362839.952     	125362888.858    	125362888.858	0          	False   	False  
125362890.093     	125362938.501    	125362938.501	0          	False   	False  
125362939.811     	125362987.218    	125362987.218	0          	False   	False  
125362988.487     	125363039.433    	125363039.433	0          	False   	False  
125363040.657     	125363079.5      	125363079.5  	0          	False   	False  
125363080.823     	125363128.073    	125363128.073	0          	False   	False  
125363129.383     	125363179.393    	125363179.394	0          	False   	False  
125363180.66      	125363231.816    	125363231.816	0          	False   	False  
125363233.085     	125363276.631    	125363276.631	0          	False   	False  
125363277.925     	125363326.894    	125363326.894	0          	False   	False  
125363328.096     	125363364.824    	125363364.824	0          	False   	False  
125363366.083     	125363413.373    	125363413.373	0          	False   	False  
125363414.617     	125363458.885    	125363458.886	0          	False   	False  
125363460.151     	125363507.987    	125363507.988	0          	False   	False  
125363509.225     	125363547.337    	125363547.338	0          	False   	False  
125363548.541     	125363593.341    	125363593.341	0          	False   	False  
125363594.586     	125363636.417    	125363636.418	0          	False   	False  
125363637.63      	125363681.471    	125363681.471	0          	False   	False  
125363682.715     	125363727.745    	125363727.745	0          	False   	False  
125363729.023     	125363773.282    	125363773.283	0          	False   	False  
125363774.582     	125363817.833    	125363817.833	0          	False   	False  
125363819.094     	125363865.561    	125363865.561	0          	False   	False  
125363866.835     	125363908.563    	125363908.564	0          	False   	False  
125363909.795     	125363956.034    	125363956.034	0          	False   	False  
125363957.363     	125364008.56     	125364008.56 	0          	False   	False  
125364009.857     	125364054.92     	125364054.921	0          	False   	False  
125364056.198     	125364097.56     	125364097.56 	0          	False   	False  
125364098.811     	125364145.621    	125364145.622	0          	False   	False  
125364146.883     	125364200.93     	125364200.93 	0          	False   	False  
125364202.139     	125364248.184    	125364248.184	0          	False   	False  
125364249.467     	125364298.728    	125364298.729	0          	False   	False  
125364300.022     	125364346.062    	125364346.063	0          	False   	False  
125364347.331     	125364388.092    	125364388.092	0          	False   	False  
125364389.411     	125364443.252    	125364443.253	0          	False   	False  
125364444.497     	125364490.559    	125364490.559	0          	False   	False  
125364491.765     	125364539.098    	125364539.098	0          	False   	False  
125364540.317     	125364586.147    	125364586.147	0          	False   	False  
125364587.355     	125364627.024    	125364627.024	0          	False   	False  
125364628.208     	125364675.252    	125364675.252	0          	False   	False  
125364676.48      	125364719.713    	125364719.714	0          	False   	False  
125364720.909     	125364764.998    	125364764.998	0          	False   	False  
125364766.194     	125364807.526    	125364807.527	0          	False   	False  
125364808.712     	125364857.611    	125364857.611	0          	False   	False  
125364858.915     	125364905.5      	125364905.5  	0          	False   	False  
125364906.721     	125364955.11     	125364955.111	0          	False   	False  
125364956.308     	125364995.525    	125364995.525	0          	False   	False  
125364996.737     	125365040.458    	125365040.458	0          	False   	False  
125365041.668     	125365093.274    	125365093.275	0          	False   	False  
125365094.493     	125365137.776    	125365137.777	0          	False   	False  
125365139.056     	125365189.549    	125365189.55 	0          	False   	False  
125365190.751     	125365236.861    	125365236.862	0          	False   	False  
125365238.051     	125365291.693    	125365291.694	0          	False   	False  
125365292.989     	125365318.096    	125365318.096	0          	False   	False  
125365319.277     	125365367.175    	125365367.175	0          	False   	False  
125365368.354     	125365418.317    	125365418.318	0          	False   	False  
125365419.551     	125365466.292    	125365466.293	0          	False   	False  
125365467.478     	125365483.002    	125365483.003	0          	False   	False  
