m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	2396.30   	0.36     	2395.94    	9770.21    	0.970        	0.030       
06     	4124.80   	0.39     	4124.41    	15267.44   	0.940        	0.060       
07     	2585.63   	0.36     	2585.27    	11050.01   	0.970        	0.030       
08     	10491.54  	0.37     	10491.17   	40011.18   	0.850        	0.150       
09     	9149.11   	0.36     	9148.75    	38093.54   	0.870        	0.130       
10     	11587.86  	0.36     	11587.50   	46678.99   	0.840        	0.160       
11     	12612.02  	0.36     	12611.66   	47468.87   	0.840        	0.160       
12     	9892.05   	0.36     	9891.68    	38572.00   	0.890        	0.110       
13     	10938.29  	0.36     	10937.93   	44371.00   	0.880        	0.120       
14     	18409.30  	0.37     	18408.93   	66415.66   	0.750        	0.250       
15     	17950.04  	0.37     	17949.68   	68721.79   	0.750        	0.250       
16     	20393.02  	0.37     	20392.65   	76740.16   	0.720        	0.280       
17     	32206.96  	0.37     	32206.59   	119181.16  	0.540        	0.460       
18     	31462.07  	0.37     	31461.70   	112811.30  	0.520        	0.480       
19     	30060.77  	0.37     	30060.40   	104473.69  	0.570        	0.430       
20     	39616.50  	0.46     	39616.04   	141007.81  	0.450        	0.540       
21     	39170.24  	0.37     	39169.87   	138533.46  	0.420        	0.560       
22     	42654.80  	0.39     	42654.41   	152147.59  	0.350        	0.630       
23     	42723.69  	0.38     	42723.30   	145798.32  	0.360        	0.610       
24     	43789.94  	0.44     	43789.50   	138890.49  	0.260        	0.660       
25     	43667.73  	0.64     	43667.09   	135022.29  	0.210        	0.640       
26     	42305.13  	0.39     	42304.74   	134850.68  	0.180        	0.570       
27     	36400.37  	0.36     	36400.00   	117613.34  	0.090        	0.410       
28     	26556.86  	0.36     	26556.50   	81716.06   	0.080        	0.270       
29     	18590.91  	0.37     	18590.54   	57149.68   	0.010        	0.150       
30     	11640.40  	0.62     	11639.78   	33777.29   	0.030        	0.080       
31     	6746.49   	2.68     	6743.80    	19932.18   	0.010        	0.010       
32     	5202.47   	2.63     	5199.84    	14321.94   	0.020        	0.010       
33     	3244.97   	2.71     	3242.26    	8867.14    	0.000        	0.000       
34     	1782.20   	2.72     	1779.48    	4567.94    	0.000        	0.010       
35     	700.01    	2.72     	697.29     	1833.83    	0.010        	0.000       
40     	135.61    	2.72     	132.88     	297.42     	0.000        	0.000       
45     	45.74     	2.74     	43.00      	98.28      	0.000        	0.000       
50     	14.68     	2.74     	11.94      	24.25      	0.000        	0.000       
55     	8.13      	2.77     	5.37       	10.25      	0.000        	0.000       
60     	5.64      	2.75     	2.89       	4.92       	0.000        	0.000       
