time_overall_start	time_search_start	time_end     	assignments	solution	timeout
123573451.164     	123573454.146    	123574920.302	4510       	False   	False  
123574921.495     	123574924.227    	123575573.739	1346       	False   	False  
123575574.896     	123575577.559    	123577848.401	3675       	False   	False  
123577849.574     	123577852.262    	123580143.684	7110       	False   	False  
123580144.861     	123580147.556    	123580399.327	728        	False   	False  
123580400.483     	123580403.202    	123580722.107	1018       	False   	False  
123580723.3       	123580725.999    	123581827.468	1982       	False   	False  
123581828.628     	123581831.364    	123582820.269	3879       	False   	False  
123582821.417     	123582824.113    	123584024.245	1662       	False   	False  
123584025.39      	123584028.123    	123584468.742	1102       	False   	False  
123584469.887     	123584472.584    	123585404.059	3437       	False   	False  
123585405.209     	123585407.891    	123585668.797	811        	False   	False  
123585669.953     	123585672.652    	123586689.876	899        	False   	False  
123586691.027     	123586693.726    	123588578.847	4922       	False   	False  
123588580.029     	123588582.747    	123646782.753	235955     	False   	False  
123646783.949     	123646786.659    	123648836.404	7497       	False   	False  
123648837.579     	123648840.277    	123648943.978	240        	False   	False  
123648945.098     	123648947.75     	123652164.848	5879       	False   	False  
123652166.031     	123652168.743    	123652796.211	1695       	False   	False  
123652797.379     	123652800.068    	123653134.897	841        	False   	False  
123653136.054     	123653138.777    	123653407.103	740        	False   	False  
123653408.251     	123653410.969    	123655363.528	4311       	False   	False  
123655364.695     	123655367.363    	123655603.006	464        	False   	False  
123655604.155     	123655606.836    	123659687.703	4436       	False   	False  
123659688.886     	123659691.584    	123659732.411	126        	False   	False  
123659733.527     	123659736.259    	123660025.065	802        	False   	False  
123660026.238     	123660028.958    	123660217.213	622        	False   	False  
123660218.398     	123660221.124    	123661168.253	3103       	False   	False  
123661169.428     	123661172.112    	123661227.305	171        	False   	False  
123661228.43      	123661231.142    	123669186.417	33756      	False   	False  
123669187.581     	123669190.288    	123671280.889	6638       	False   	False  
123671282.087     	123671284.79     	123672010.442	1851       	False   	False  
123672011.614     	123672014.306    	123672829.653	1955       	False   	False  
123672830.835     	123672833.6      	123686880.223	45184      	False   	False  
123686881.398     	123686884.068    	123686995.754	304        	False   	False  
123686996.885     	123686999.605    	123687410.534	1146       	False   	False  
123687411.695     	123687414.368    	123688291.137	2698       	False   	False  
123688292.321     	123688295.006    	123688744.419	1540       	False   	False  
123688745.591     	123688748.28     	123689470.749	1851       	False   	False  
123689471.899     	123689474.603    	123690429.088	4029       	False   	False  
123690430.248     	123690432.954    	123691373.576	2216       	False   	False  
123691374.736     	123691377.47     	123691803.837	1146       	False   	False  
123691805.025     	123691807.718    	123692293.773	1347       	False   	False  
123692294.929     	123692297.618    	123693021.067	840        	False   	False  
123693022.254     	123693025.004    	123695172.555	4232       	False   	False  
123695173.743     	123695176.428    	123695392.922	338        	False   	False  
123695394.1       	123695396.828    	123695746.585	816        	False   	False  
123695747.748     	123695750.452    	123695933.499	680        	False   	False  
123695934.654     	123695937.326    	123698758.25 	4870       	False   	False  
123698759.41      	123698762.126    	123703416.298	14426      	False   	False  
123703417.427     	123703420.145    	123708009.889	6714       	False   	False  
123708011.095     	123708013.804    	123710428.305	4016       	False   	False  
123710429.451     	123710432.151    	123712343.187	3133       	False   	False  
123712344.367     	123712347.087    	123712482.814	403        	False   	False  
123712483.932     	123712486.606    	123721891.892	15102      	False   	False  
123721893.078     	123721895.836    	123723850.734	4411       	False   	False  
123723851.885     	123723854.58     	123724135.502	912        	False   	False  
123724136.661     	123724139.365    	123728696.013	9964       	False   	False  
123728697.191     	123728699.901    	123732537.884	3495       	False   	False  
123732539.051     	123732541.746    	123737535.652	14545      	False   	False  
123737536.812     	123737539.534    	123737977.873	1209       	False   	False  
123737979.05      	123737981.766    	123755235.335	59290      	False   	False  
123755236.516     	123755239.236    	123775842.479	75752      	False   	False  
123775843.623     	123775846.306    	123778484.624	8524       	False   	False  
123778485.785     	123778488.482    	123780306.631	5445       	False   	False  
123780307.768     	123780310.439    	123783671.611	9792       	False   	False  
123783672.79      	123783675.473    	123789062.756	12902      	False   	False  
123789063.943     	123789066.639    	123789349.245	597        	False   	False  
123789350.396     	123789353.124    	123792723.259	7386       	False   	False  
123792724.434     	123792727.154    	123793146.292	1171       	False   	False  
123793147.462     	123793150.17     	123793411.855	540        	False   	False  
123793412.995     	123793415.683    	123810300.852	44132      	False   	False  
123810302.032     	123810304.802    	123810395.581	288        	False   	False  
123810396.728     	123810399.434    	123811469.875	1058       	False   	False  
123811471.054     	123811473.747    	123811749.804	910        	False   	False  
123811750.941     	123811753.647    	123812396.446	1603       	False   	False  
123812397.595     	123812400.321    	123812943.116	821        	False   	False  
123812944.284     	123812947.023    	123854362.391	63444      	False   	False  
123854363.558     	123854366.279    	123859617.227	13151      	False   	False  
123859618.424     	123859621.138    	123860035.224	413        	False   	False  
123860036.396     	123860039.175    	123860653.955	1764       	False   	False  
123860655.101     	123860657.793    	123862012.486	3911       	False   	False  
123862013.657     	123862016.39     	123864159.588	4679       	False   	False  
123864160.775     	123864163.484    	123869573.724	7529       	False   	False  
123869574.907     	123869577.611    	123869931.589	707        	False   	False  
123869932.717     	123869935.399    	123871318.508	4300       	False   	False  
123871319.695     	123871322.41     	123875715.793	7570       	False   	False  
123875716.948     	123875719.696    	123880307.021	7204       	False   	False  
123880308.178     	123880310.865    	123880669.308	1249       	False   	False  
123880670.465     	123880673.158    	123886785.325	8891       	False   	False  
123886786.487     	123886789.21     	123888866.377	6213       	False   	False  
123888867.522     	123888870.203    	123889464.189	1306       	False   	False  
123889465.359     	123889468.082    	123889869.369	1095       	False   	False  
123889870.515     	123889873.204    	123892394.043	7347       	False   	False  
123892395.183     	123892397.858    	123894137.912	5781       	False   	False  
123894139.096     	123894141.852    	123894589.255	1304       	False   	False  
123894590.451     	123894593.164    	123896597.276	5488       	False   	False  
123896598.46      	123896601.209    	123897108.025	1198       	False   	False  
123897109.217     	123897111.961    	123897798.839	1685       	False   	False  
123897800.0       	123897802.688    	123898063.905	544        	False   	False  
