m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	2666.49   	10.89    	2655.60    	11402.04   	0.970        	0.030       
06     	5342.87   	2.84     	5340.02    	21892.50   	0.930        	0.070       
07     	2789.52   	2.05     	2787.47    	12643.96   	0.970        	0.030       
08     	11333.83  	2.05     	11331.78   	49528.28   	0.870        	0.130       
09     	6844.50   	1.88     	6842.62    	32654.14   	0.910        	0.090       
10     	11830.90  	2.59     	11828.31   	53825.54   	0.850        	0.150       
11     	14143.08  	2.70     	14140.37   	60498.98   	0.820        	0.180       
12     	14158.45  	2.57     	14155.89   	64952.30   	0.830        	0.170       
13     	12166.71  	2.69     	12164.01   	57305.79   	0.880        	0.120       
14     	18552.41  	2.70     	18549.71   	77920.93   	0.740        	0.260       
15     	18546.55  	2.69     	18543.86   	83002.65   	0.730        	0.270       
16     	21347.54  	2.69     	21344.85   	93379.88   	0.710        	0.290       
17     	28570.34  	2.70     	28567.64   	121781.47  	0.590        	0.410       
18     	31129.99  	2.70     	31127.28   	131439.95  	0.570        	0.430       
19     	29220.99  	2.70     	29218.29   	120545.00  	0.580        	0.420       
20     	38087.65  	2.73     	38084.92   	162505.14  	0.450        	0.540       
21     	37775.91  	2.36     	37773.55   	160485.97  	0.440        	0.540       
22     	41838.33  	2.05     	41836.27   	181125.55  	0.350        	0.630       
23     	41827.93  	2.06     	41825.87   	174251.19  	0.360        	0.610       
24     	42761.27  	2.06     	42759.21   	174793.06  	0.260        	0.660       
25     	42034.78  	2.15     	42032.63   	169139.30  	0.230        	0.590       
26     	40635.80  	2.08     	40633.72   	162021.36  	0.180        	0.560       
27     	34176.92  	1.63     	34175.29   	133994.33  	0.090        	0.390       
28     	24534.55  	2.04     	24532.51   	91897.69   	0.080        	0.220       
29     	16862.41  	2.82     	16859.59   	63703.35   	0.010        	0.140       
30     	10310.05  	2.62     	10307.43   	36257.03   	0.030        	0.060       
31     	5629.35   	2.70     	5626.66    	20194.53   	0.010        	0.000       
32     	4463.31   	2.70     	4460.61    	14579.68   	0.020        	0.010       
33     	2751.54   	1.94     	2749.60    	8867.14    	0.000        	0.000       
34     	1589.16   	2.98     	1586.18    	4758.66    	0.000        	0.010       
35     	577.39    	2.76     	574.63     	1833.86    	0.010        	0.000       
40     	113.29    	2.76     	110.53     	297.42     	0.000        	0.000       
45     	37.57     	2.78     	34.80      	98.28      	0.000        	0.000       
50     	12.25     	2.78     	9.47       	24.25      	0.000        	0.000       
55     	7.06      	2.82     	4.24       	10.25      	0.000        	0.000       
60     	4.94      	2.70     	2.24       	4.92       	0.000        	0.000       
