time_overall_start	time_search_start	time_end     	assignments	solution	timeout
4084489.26106     	4084492.08815    	4115978.60163	142016     	True    	False  
4115982.89739     	4115985.54858    	4175985.71394	270739     	False   	True   
4175987.19827     	4175989.89464    	4176113.56953	582        	True    	False  
4176117.84481     	4176120.51738    	4236120.74991	230850     	False   	True   
4236122.19328     	4236124.8517     	4296125.36856	283345     	False   	True   
4296126.66434     	4296129.33571    	4296190.18295	258        	True    	False  
4296194.53051     	4296197.23351    	4296240.22483	121        	True    	False  
4296244.46216     	4296247.14979    	4356247.44738	314794     	False   	True   
4356248.97719     	4356251.70067    	4356407.15068	521        	True    	False  
4356411.43469     	4356414.17323    	4356634.62197	896        	True    	False  
4356638.89996     	4356641.60838    	4373325.02344	77018      	True    	False  
4373329.32342     	4373332.00563    	4373607.21369	1507       	True    	False  
4373611.52331     	4373614.23564    	4373660.27243	177        	True    	False  
4373664.4959      	4373667.17329    	4373824.01065	562        	True    	False  
4373828.27207     	4373830.97386    	4374839.50935	4376       	True    	False  
4374843.73945     	4374846.44546    	4374935.39284	299        	True    	False  
4374939.68528     	4374942.36057    	4383099.13166	42800      	True    	False  
4383103.43646     	4383106.20722    	4383248.94165	630        	True    	False  
4383253.24102     	4383255.9148     	4383331.60473	275        	True    	False  
4383335.90139     	4383338.58662    	4390370.09728	28662      	True    	False  
4390374.39936     	4390377.09935    	4390819.1417 	1735       	True    	False  
4390823.50523     	4390826.23172    	4401106.78102	59785      	True    	False  
4401111.10147     	4401113.81652    	4434894.81446	125973     	True    	False  
4434899.14485     	4434901.86412    	4444555.49833	49758      	True    	False  
4444559.78083     	4444562.60039    	4504562.77208	256321     	False   	True   
4504564.21243     	4504566.89585    	4519653.90288	65848      	True    	False  
4519658.19955     	4519660.89531    	4519742.95358	269        	True    	False  
4519747.23578     	4519749.92794    	4519892.00935	599        	True    	False  
4519896.36415     	4519899.14425    	4520707.33601	3459       	True    	False  
4520711.64261     	4520714.35947    	4520913.45652	962        	True    	False  
4520917.76282     	4520920.46642    	4580920.63389	276216     	False   	True   
4580922.12514     	4580924.82242    	4624347.98596	194062     	True    	False  
4624352.26274     	4624354.92779    	4625070.19809	3501       	True    	False  
4625074.49867     	4625077.15649    	4634083.7703 	42786      	True    	False  
4634088.07148     	4634090.7805     	4634139.43053	173        	True    	False  
4634143.71604     	4634146.45097    	4634511.32659	1417       	True    	False  
4634515.64072     	4634518.38559    	4634562.60732	101        	True    	False  
4634566.79947     	4634569.44162    	4690748.55656	195927     	True    	False  
4690752.86256     	4690755.51224    	4750755.59357	311425     	False   	True   
4750757.13543     	4750759.81794    	4750814.11673	191        	True    	False  
4750818.39953     	4750821.10584    	4810821.26066	273043     	False   	True   
4810822.40915     	4810825.1507     	4810851.52946	125        	True    	False  
4810855.71016     	4810858.38575    	4870858.60744	274906     	False   	True   
4870860.17219     	4870862.85139    	4871048.45183	756        	True    	False  
4871052.71898     	4871055.41294    	4872568.46934	7234       	True    	False  
4872572.78738     	4872575.47713    	4876589.5153 	13305      	True    	False  
4876593.78275     	4876596.51345    	4876718.77089	457        	True    	False  
4876723.10942     	4876725.78561    	4876866.32004	555        	True    	False  
4876870.59442     	4876873.27844    	4936873.40163	258290     	False   	True   
4936874.59048     	4936877.3001     	4948221.56379	56012      	True    	False  
4948225.81949     	4948228.47068    	4948250.33682	85         	True    	False  
4948254.52113     	4948257.19552    	4948287.0351 	136        	True    	False  
4948291.28026     	4948293.98055    	4948331.33756	95         	True    	False  
4948335.61254     	4948338.31734    	4951919.81341	14547      	True    	False  
4951924.11098     	4951926.80494    	4952402.05613	2121       	True    	False  
4952406.39948     	4952409.07206    	5012409.22959	256998     	False   	True   
5012410.42175     	5012413.13619    	5012570.16391	808        	True    	False  
5012574.45786     	5012577.16688    	5012609.76549	117        	True    	False  
5012614.04076     	5012616.7299     	5013345.85073	3069       	True    	False  
5013350.16095     	5013352.85672    	5013505.03175	619        	True    	False  
5013509.3501      	5013512.03683    	5013601.43029	371        	True    	False  
5013605.70286     	5013608.41399    	5013678.01931	268        	True    	False  
5013682.25302     	5013684.91957    	5013967.97609	1212       	True    	False  
5013972.27305     	5013974.9646     	5023071.44718	40643      	True    	False  
5023075.7568      	5023078.44684    	5023255.85848	893        	True    	False  
5023260.14068     	5023262.81024    	5023324.04122	200        	True    	False  
5023328.33336     	5023331.04027    	5024382.71377	4732       	True    	False  
5024387.00682     	5024389.71042    	5024461.33471	263        	True    	False  
5024465.61631     	5024468.52051    	5084468.71569	271725     	False   	True   
5084469.9437      	5084472.63495    	5084783.91027	983        	True    	False  
5084788.21055     	5084790.90993    	5085015.346  	913        	True    	False  
5085019.66495     	5085022.34957    	5095344.35556	39839      	True    	False  
5095348.62421     	5095351.29889    	5096061.66862	2919       	True    	False  
5096065.9942      	5096068.71015    	5096651.53121	2772       	True    	False  
5096655.85257     	5096658.59653    	5129278.61829	144158     	True    	False  
5129282.94627     	5129285.65499    	5130423.37107	4763       	True    	False  
5130427.69876     	5130430.41742    	5130800.89783	1785       	True    	False  
5130805.21678     	5130807.93303    	5131003.94546	873        	True    	False  
5131008.28549     	5131011.02705    	5131430.8885 	1816       	True    	False  
5131435.1701      	5131437.8496     	5191438.62339	57329      	False   	True   
5191439.79598     	5191442.55921    	5251442.76283	204613     	False   	True   
5251444.20649     	5251446.89172    	5252474.44216	4414       	True    	False  
5252478.75479     	5252481.4605     	5253206.67081	3309       	True    	False  
5253210.95512     	5253213.64727    	5253269.21021	171        	True    	False  
5253273.45597     	5253276.11649    	5253538.86499	870        	True    	False  
5253543.13545     	5253545.81585    	5253620.01362	274        	True    	False  
5253624.30486     	5253627.05997    	5254085.58053	1943       	True    	False  
5254089.93683     	5254092.69887    	5314092.82658	249482     	False   	True   
5314094.35488     	5314097.04583    	5374097.21932	232762     	False   	True   
5374098.38558     	5374101.10605    	5374223.22643	394        	True    	False  
5374227.49177     	5374230.18513    	5374278.26015	192        	True    	False  
5374282.48152     	5374285.15198    	5374381.4933 	347        	True    	False  
5374385.96104     	5374388.70651    	5374444.37969	107        	True    	False  
5374448.62725     	5374451.2688     	5375009.83006	2312       	True    	False  
5375014.15353     	5375016.83936    	5435016.98755	304468     	False   	True   
5435018.20712     	5435020.97578    	5435847.08551	2761       	True    	False  
5435851.36501     	5435854.04632    	5495854.29692	296293     	False   	True   
5495855.7189      	5495858.424      	5498281.34929	8670       	True    	False  
5498285.66975     	5498288.38419    	5498453.62963	782        	True    	False  
5498457.90431     	5498460.62447    	5499168.9156 	3063       	True    	False  
