m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	100.63    	0.36     	100.27     	1082.39    	1.000        	0.000       
06     	923.38    	0.35     	923.03     	11167.87   	0.990        	0.010       
07     	439.37    	0.36     	439.02     	5757.83    	1.000        	0.000       
08     	1566.06   	0.36     	1565.70    	17780.46   	0.980        	0.020       
09     	823.70    	0.36     	823.35     	9379.05    	0.990        	0.010       
10     	1940.33   	0.36     	1939.97    	22561.02   	0.970        	0.030       
11     	4907.73   	0.36     	4907.38    	53570.01   	0.930        	0.070       
12     	3730.59   	0.36     	3730.22    	40660.62   	0.950        	0.050       
13     	3926.98   	0.36     	3926.61    	42778.70   	0.940        	0.060       
14     	8307.63   	0.36     	8307.28    	88869.74   	0.870        	0.120       
15     	11291.00  	0.36     	11290.64   	122953.92  	0.850        	0.150       
16     	12179.63  	0.36     	12179.27   	126602.03  	0.810        	0.180       
17     	13610.28  	0.36     	13609.92   	143462.01  	0.780        	0.200       
18     	12844.55  	0.36     	12844.18   	132695.70  	0.790        	0.180       
19     	14859.82  	0.36     	14859.46   	148685.64  	0.740        	0.230       
20     	13736.13  	0.36     	13735.77   	135124.20  	0.730        	0.200       
21     	23471.34  	0.37     	23470.97   	229991.45  	0.550        	0.360       
22     	22333.67  	0.36     	22333.30   	217970.94  	0.510        	0.310       
23     	19147.30  	0.36     	19146.94   	183478.23  	0.490        	0.220       
24     	19898.13  	0.36     	19897.77   	185686.55  	0.390        	0.230       
25     	14876.30  	0.36     	14875.94   	137252.73  	0.270        	0.110       
26     	12520.19  	0.36     	12519.83   	114463.76  	0.240        	0.100       
27     	5773.93   	0.36     	5773.57    	51483.92   	0.110        	0.020       
28     	4301.72   	0.36     	4301.36    	38563.60   	0.080        	0.010       
29     	1015.85   	0.35     	1015.50    	8861.39    	0.020        	0.000       
30     	792.64    	0.35     	792.29     	6774.23    	0.030        	0.000       
31     	445.72    	0.35     	445.37     	3851.09    	0.010        	0.000       
32     	174.33    	0.35     	173.98     	1490.65    	0.020        	0.000       
33     	277.25    	0.35     	276.90     	2386.88    	0.000        	0.000       
34     	117.07    	0.35     	116.72     	1041.87    	0.000        	0.000       
35     	42.07     	0.36     	41.71      	332.98     	0.010        	0.000       
40     	2.94      	0.35     	2.58       	16.50      	0.000        	0.000       
45     	1.89      	0.36     	1.52       	9.15       	0.000        	0.000       
50     	1.11      	0.34     	0.77       	4.06       	0.000        	0.000       
55     	0.86      	0.41     	0.46       	2.01       	0.000        	0.000       
60     	0.66      	0.35     	0.31       	1.13       	0.000        	0.000       
