m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	106.78    	0.35     	106.42     	1810.14    	1.000        	0.000       
06     	851.04    	0.36     	850.69     	13983.39   	0.990        	0.010       
07     	63.52     	0.36     	63.16      	1106.49    	1.000        	0.000       
08     	1598.57   	0.37     	1598.20    	24849.59   	0.980        	0.020       
09     	1375.07   	0.36     	1374.71    	21722.14   	0.980        	0.020       
10     	2710.06   	0.37     	2709.69    	42546.09   	0.970        	0.030       
11     	3806.13   	0.36     	3805.77    	56620.54   	0.940        	0.060       
12     	2602.18   	0.36     	2601.83    	39222.50   	0.980        	0.020       
13     	1265.63   	0.36     	1265.28    	19148.59   	0.990        	0.010       
14     	7377.45   	0.36     	7377.09    	102917.17  	0.890        	0.100       
15     	9952.67   	0.36     	9952.31    	139438.36  	0.880        	0.120       
16     	11290.78  	0.36     	11290.42   	154140.25  	0.820        	0.170       
17     	10851.37  	0.36     	10851.01   	150021.08  	0.820        	0.160       
18     	11483.50  	0.36     	11483.14   	153265.63  	0.790        	0.180       
19     	13093.78  	0.36     	13093.42   	172331.65  	0.780        	0.190       
20     	10863.95  	0.37     	10863.58   	135010.42  	0.770        	0.140       
21     	19611.10  	0.36     	19610.73   	250775.95  	0.600        	0.280       
22     	18477.73  	0.36     	18477.37   	231918.95  	0.530        	0.250       
23     	16436.21  	0.38     	16435.83   	210943.48  	0.500        	0.170       
24     	15235.59  	0.36     	15235.23   	188192.55  	0.400        	0.130       
25     	10556.24  	0.36     	10555.89   	128953.04  	0.270        	0.080       
26     	8630.49   	0.36     	8630.12    	105925.46  	0.250        	0.080       
27     	3427.61   	0.36     	3427.25    	42199.45   	0.110        	0.010       
28     	2297.68   	0.35     	2297.32    	27962.11   	0.080        	0.000       
29     	842.16    	0.35     	841.80     	10205.63   	0.020        	0.000       
30     	579.07    	0.36     	578.71     	6769.54    	0.030        	0.000       
31     	459.31    	0.36     	458.95     	5832.68    	0.010        	0.000       
32     	86.71     	0.35     	86.35      	975.77     	0.020        	0.000       
33     	219.82    	0.35     	219.47     	2621.46    	0.000        	0.000       
34     	31.54     	0.36     	31.18      	339.54     	0.000        	0.000       
35     	23.98     	0.36     	23.62      	266.00     	0.010        	0.000       
40     	1.97      	0.35     	1.61       	14.22      	0.000        	0.000       
45     	1.30      	0.34     	0.96       	7.96       	0.000        	0.000       
50     	0.94      	0.36     	0.58       	4.26       	0.000        	0.000       
55     	0.69      	0.37     	0.32       	1.90       	0.000        	0.000       
60     	0.59      	0.35     	0.24       	1.20       	0.000        	0.000       
