time_overall_start	time_search_start	time_end     	assignments	solution	timeout
19543178.0484     	19543178.4812    	19543236.2185	660        	False   	False  
19543236.5462     	19543236.9288    	19543367.8407	1421       	False   	False  
19543367.9539     	19543368.3117    	19543378.6635	118        	False   	False  
19543378.7394     	19543379.0828    	19543380.5538	17         	False   	False  
19543380.6201     	19543380.9563    	19543383.3602	28         	False   	False  
19543383.4279     	19543383.7704    	19543419.9277	433        	False   	False  
19543420.0145     	19543420.3648    	19543420.7892	4          	False   	False  
19543420.8545     	19543421.1898    	19543468.6928	552        	False   	False  
19543468.7684     	19543469.1082    	19543496.5188	304        	False   	False  
19543496.5972     	19543496.9393    	19543502.5781	68         	False   	False  
19543502.6465     	19543502.9851    	19543572.2178	774        	False   	False  
19543572.3223     	19543572.6832    	19543620.4829	526        	False   	False  
19543620.5937     	19543620.9489    	19543623.241 	26         	False   	False  
19543623.3076     	19543623.644     	19543654.3197	369        	False   	False  
19543654.3987     	19543654.7441    	19556639.4048	147905     	False   	False  
19556639.5129     	19556639.8644    	19556849.6418	2348       	False   	False  
19556849.7472     	19556850.0997    	19556852.6273	30         	False   	False  
19556852.6939     	19556853.0397    	19556855.84  	33         	False   	False  
19556855.9093     	19556856.2523    	19556857.008 	8          	False   	False  
19556857.0737     	19556857.4096    	19556865.7101	99         	False   	False  
19556865.7815     	19556866.1306    	19556866.2261	0          	False   	False  
19556866.2905     	19556866.6261    	19556866.8899	2          	False   	False  
19556866.9538     	19556867.2878    	19556868.7053	16         	False   	False  
19556868.7742     	19556869.1116    	19556886.5799	210        	False   	False  
19556886.6567     	19556887.0064    	19556895.3831	100        	False   	False  
19556895.4584     	19556895.7997    	19556896.6464	9          	False   	False  
19556896.7196     	19556897.0614    	19556911.977 	175        	False   	False  
19556912.0556     	19556912.3987    	19556935.4221	278        	False   	False  
19556935.4983     	19556935.8422    	19556938.6726	33         	False   	False  
19556938.7419     	19556939.0781    	19557178.7439	2886       	False   	False  
19557178.8414     	19557179.1933    	19557196.5145	189        	False   	False  
19557196.5959     	19557196.9416    	19557197.123 	1          	False   	False  
19557197.1889     	19557197.5233    	19557260.0804	743        	False   	False  
19557260.1892     	19557260.5461    	19557262.0226	17         	False   	False  
19557262.0946     	19557262.4364    	19557265.2452	31         	False   	False  
19557265.3238     	19557265.6732    	19557267.7789	24         	False   	False  
19557267.847      	19557268.1864    	19557268.2771	0          	False   	False  
19557268.3409     	19557268.6732    	19557300.9151	354        	False   	False  
19557300.9913     	19557301.3332    	19557301.4254	0          	False   	False  
19557301.4901     	19557301.823     	19557381.1873	944        	False   	False  
19557381.2855     	19557381.6346    	19557466.1841	1025       	False   	False  
19557466.2865     	19557466.6383    	19557470.4193	44         	False   	False  
19557470.4865     	19557470.8229    	19557471.1759	3          	False   	False  
19557471.2407     	19557471.5738    	19557472.0   	4          	False   	False  
19557472.0642     	19557472.3955    	19561073.3758	39441      	False   	False  
19561073.4842     	19561073.8369    	19561289.6679	2482       	False   	False  
19561289.7625     	19561290.114     	19561386.1427	1108       	False   	False  
19561386.2403     	19561386.5875    	19561420.2702	409        	False   	False  
19561420.3521     	19561420.6943    	19561437.0876	183        	False   	False  
19561437.1617     	19561437.5011    	19562274.6566	9305       	False   	False  
19562274.7626     	19562275.1177    	19562276.3831	14         	False   	False  
19562276.4517     	19562276.7882    	19562287.0544	122        	False   	False  
19562287.1258     	19562287.47      	19562293.9589	76         	False   	False  
19562294.0305     	19562294.3869    	19562323.6054	322        	False   	False  
19562323.6969     	19562324.0509    	19562324.1484	0          	False   	False  
19562324.2156     	19562324.5506    	19562333.9746	109        	False   	False  
19562334.0496     	19562334.4116    	19562345.5866	130        	False   	False  
19562345.6607     	19562346.0059    	19562347.1543	13         	False   	False  
19562347.2254     	19562347.5604    	19562496.7616	1794       	False   	False  
19562496.8634     	19562497.2228    	19562558.0073	706        	False   	False  
19562558.1049     	19562558.4616    	19562785.2892	2458       	False   	False  
19562785.3877     	19562785.738     	19562941.1082	1672       	False   	False  
19562941.2217     	19562941.5732    	19563823.1251	10120      	False   	False  
19563823.2417     	19563823.6001    	19563823.7772	1          	False   	False  
19563823.8429     	19563824.1769    	19563835.9503	132        	False   	False  
19563836.0253     	19563836.3759    	19563839.8012	40         	False   	False  
19563839.8699     	19563840.2069    	19563840.6389	4          	False   	False  
19563840.7063     	19563841.0413    	19563852.8984	140        	False   	False  
19563852.9758     	19563853.3252    	19563856.6114	38         	False   	False  
19563856.683      	19563857.0258    	19563858.7502	20         	False   	False  
19563858.8165     	19563859.1526    	19563894.0925	401        	False   	False  
19563894.1741     	19563894.5419    	19564001.1916	1185       	False   	False  
19564001.284      	19564001.6331    	19564006.7177	60         	False   	False  
19564006.7918     	19564007.1334    	19564018.4351	136        	False   	False  
19564018.5113     	19564018.8523    	19564032.8697	162        	False   	False  
19564032.9438     	19564033.2857    	19564034.5878	15         	False   	False  
19564034.6531     	19564034.9878    	19564039.2365	48         	False   	False  
19564039.3118     	19564039.6534    	19564041.0672	16         	False   	False  
19564041.1329     	19564041.4681    	19564079.0227	446        	False   	False  
19564079.1005     	19564079.448     	19564083.0745	42         	False   	False  
19564083.1435     	19564083.4821    	19564086.3064	33         	False   	False  
19564086.3727     	19564086.7079    	19564327.724 	2691       	False   	False  
19564327.8298     	19564328.181     	19564643.8927	3716       	False   	False  
19564644.0026     	19564644.3638    	19564645.3556	11         	False   	False  
19564645.4231     	19564645.7599    	19564661.6661	191        	False   	False  
19564661.742      	19564662.0842    	19566160.9205	16397      	False   	False  
19566161.0274     	19566161.3891    	19566161.8135	4          	False   	False  
19566161.8885     	19566162.2418    	19566162.4217	1          	False   	False  
19566162.4876     	19566162.8262    	19566238.3285	895        	False   	False  
19566238.4375     	19566238.7935    	19566251.0495	143        	False   	False  
19566251.1452     	19566251.4943    	19566281.2613	336        	False   	False  
19566281.3454     	19566281.6918    	19566284.8954	37         	False   	False  
19566284.9607     	19566285.2969    	19566290.5462	63         	False   	False  
19566290.6149     	19566290.9519    	19566294.0983	37         	False   	False  
19566294.1625     	19566294.52      	19566382.6433	1048       	False   	False  
19566382.7502     	19566383.1029    	19566391.9956	106        	False   	False  
