m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	57.22     	29.12    	28.11      	81.45      	1.000        	0.000       
06     	117.75    	31.08    	86.68      	276.45     	0.999        	0.001       
07     	59.21     	32.67    	26.54      	85.95      	1.000        	0.000       
08     	84.27     	34.87    	49.40      	173.65     	0.999        	0.000       
09     	124.53    	36.90    	87.63      	333.11     	0.998        	0.001       
10     	397.06    	36.43    	360.64     	1544.27    	0.994        	0.003       
11     	202.65    	37.52    	165.14     	731.58     	0.992        	0.002       
12     	502.90    	38.97    	463.93     	1903.72    	0.985        	0.007       
13     	591.56    	40.49    	551.06     	2289.82    	0.984        	0.007       
14     	1136.13   	41.85    	1094.27    	4467.04    	0.956        	0.015       
15     	1345.73   	43.27    	1302.47    	5280.87    	0.960        	0.016       
16     	2087.25   	44.64    	2042.61    	8088.71    	0.918        	0.030       
17     	2088.44   	45.76    	2042.68    	8042.93    	0.888        	0.025       
18     	1406.06   	46.89    	1359.16    	5220.06    	0.865        	0.012       
19     	1125.48   	47.51    	1077.98    	4067.74    	0.811        	0.007       
20     	702.74    	48.41    	654.33     	2492.46    	0.744        	0.002       
21     	333.24    	49.12    	284.12     	1048.65    	0.676        	0.000       
22     	263.67    	49.60    	214.07     	796.62     	0.584        	0.000       
23     	190.30    	49.58    	140.72     	533.96     	0.510        	0.000       
24     	97.92     	49.61    	48.31      	169.20     	0.409        	0.000       
25     	82.53     	49.62    	32.91      	114.41     	0.306        	0.000       
26     	66.79     	48.91    	17.89      	60.82      	0.197        	0.000       
27     	55.88     	47.95    	7.93       	26.70      	0.109        	0.000       
28     	52.87     	47.24    	5.63       	18.59      	0.072        	0.000       
29     	48.65     	46.51    	2.14       	6.62       	0.046        	0.000       
30     	46.59     	45.41    	1.18       	3.70       	0.020        	0.000       
31     	45.23     	44.75    	0.48       	1.41       	0.014        	0.000       
32     	44.41     	44.12    	0.29       	0.78       	0.004        	0.000       
33     	43.31     	43.26    	0.04       	0.07       	0.001        	0.000       
34     	42.76     	42.76    	0.00       	0.00       	0.000        	0.000       
35     	42.14     	42.09    	0.05       	0.16       	0.003        	0.000       
40     	39.32     	39.32    	0.00       	0.00       	0.000        	0.000       
45     	36.80     	36.80    	0.00       	0.00       	0.000        	0.000       
50     	33.97     	33.97    	0.00       	0.00       	0.000        	0.000       
55     	31.55     	31.55    	0.00       	0.00       	0.000        	0.000       
60     	29.15     	29.15    	0.00       	0.00       	0.000        	0.000       
65     	26.56     	26.56    	0.00       	0.00       	0.000        	0.000       
