time_overall_start	time_search_start	time_end	assignments	solution	timeout
838242950.876	838243016.792	838243034.903	53	True	False
838243035.955	838243076.551	838243076.551	0	False	False
838243076.669	838243127.17	838243127.17	0	False	False
838243127.26	838243181.551	838243187.955	28	False	False
838243188.069	838243244.74	838243277.526	89	True	False
838243278.564	838243332.668	838243336.259	12	False	False
838243336.372	838243377.098	838243377.098	0	False	False
838243377.207	838243418.272	838243418.272	0	False	False
838243418.379	838243459.524	838243459.525	0	False	False
838243459.643	838243499.965	838243499.965	0	False	False
838243500.06	838243552.665	838243552.666	0	False	False
838243552.793	838243606.276	838243641.622	131	True	False
838243642.663	838243694.239	838243694.239	0	False	False
838243694.343	838243750.017	838243762.651	31	False	False
838243762.759	838243809.574	838243809.575	0	False	False
838243809.662	838243857.118	838243857.119	0	False	False
838243857.235	838243898.99	838243898.99	0	False	False
838243899.09	838243958.992	838243971.26	39	False	False
838243971.369	838244026.367	838244030.052	10	False	False
838244030.138	838244076.192	838244076.192	0	False	False
838244076.312	838244133.537	838244142.595	31	False	False
838244142.702	838244198.39	838244211.715	39	False	False
838244211.817	838244255.438	838244255.438	0	False	False
838244255.552	838244305.638	838244305.639	0	False	False
838244305.754	838244350.754	838244350.754	0	False	False
838244350.881	838244393.047	838244393.048	0	False	False
838244393.158	838244447.603	838244448.616	5	False	False
838244448.731	838244491.982	838244491.982	0	False	False
838244492.072	838244550.967	838244561.812	30	False	False
838244561.921	838244614.628	838244614.629	0	False	False
838244614.72	838244665.053	838244665.053	0	False	False
838244665.166	838244709.163	838244709.163	0	False	False
838244709.265	838244750.948	838244750.948	0	False	False
838244751.057	838244797.725	838244797.725	0	False	False
838244797.857	838244837.98	838244837.98	0	False	False
838244838.138	838244876.514	838244876.514	0	False	False
838244876.598	838244926.926	838244926.926	0	False	False
838244927.029	838244973.715	838244973.716	0	False	False
838244973.825	838245017.994	838245017.994	0	False	False
838245018.099	838245053.108	838245053.109	0	False	False
838245053.222	838245097.577	838245097.577	0	False	False
838245097.711	838245149.034	838245149.034	0	False	False
838245149.152	838245195.864	838245195.865	0	False	False
838245195.947	838245243.572	838245243.572	0	False	False
838245243.686	838245301.372	838245307.239	19	False	False
838245307.343	838245358.305	838245358.306	0	False	False
838245358.415	838245408.404	838245408.404	0	False	False
838245408.519	838245439.543	838245439.544	0	False	False
838245439.669	838245488.308	838245488.308	0	False	False
838245488.419	838245534.165	838245534.166	0	False	False
838245534.285	838245578.328	838245578.329	0	False	False
838245578.435	838245622.025	838245622.025	0	False	False
838245622.133	838245670.273	838245670.273	0	False	False
838245670.382	838245708.708	838245708.708	0	False	False
838245708.785	838245750.765	838245750.765	0	False	False
838245750.886	838245788.499	838245788.5	0	False	False
838245788.583	838245838.323	838245838.323	0	False	False
838245838.436	838245893.678	838245893.679	0	False	False
838245893.821	838245951.359	838245966.942	53	True	False
838245967.987	838246017.88	838246017.881	0	False	False
838246017.995	838246066.712	838246066.712	0	False	False
838246066.824	838246116.493	838246116.494	0	False	False
838246116.599	838246168.062	838246168.063	0	False	False
838246168.208	838246217.169	838246217.169	0	False	False
838246217.256	838246262.161	838246262.162	0	False	False
838246262.285	838246317.311	838246518.263	790	False	False
838246518.369	838246561.755	838246561.755	0	False	False
838246561.878	838246607.208	838246607.209	0	False	False
838246607.302	838246651.747	838246651.748	0	False	False
838246651.868	838246707.895	838246717.363	32	False	False
838246717.451	838246752.302	838246752.302	0	False	False
838246752.418	838246799.261	838246799.262	0	False	False
838246799.345	838246853.845	838246869.262	47	False	False
838246869.371	838246909.898	838246909.899	0	False	False
838246909.997	838246949.811	838246949.811	0	False	False
838246949.92	838246998.252	838246998.257	0	False	False
838246998.356	838247033.06	838247033.06	0	False	False
838247033.157	838247081.415	838247081.415	0	False	False
838247081.523	838247123.763	838247123.763	0	False	False
838247123.872	838247167.169	838247167.169	0	False	False
838247167.285	838247216.523	838247216.523	0	False	False
838247216.628	838247260.149	838247260.149	0	False	False
838247260.263	838247301.633	838247301.633	0	False	False
838247301.714	838247355.181	838247357.404	9	False	False
838247357.515	838247410.78	838247410.781	0	False	False
838247410.908	838247457.171	838247457.172	0	False	False
838247457.294	838247503.582	838247503.583	0	False	False
838247503.701	838247547.277	838247547.277	0	False	False
838247547.419	838247574.866	838247574.866	0	False	False
838247574.948	838247625.666	838247625.667	0	False	False
