time_overall_start	time_search_start	time_end	assignments	solution	timeout
271991285.823	271991286.203	271991326.16	158	True	False
271991327.498	271991328.904	271991657.514	1333	True	False
271991658.622	271991658.979	271992799.916	4427	True	False
271992801.064	271992801.441	272006684.008	46426	True	False
272006685.062	272006685.418	272007960.125	5340	True	False
272007961.205	272007961.562	272038035.889	135120	True	False
272038036.936	272038037.318	272098037.423	213569	False	True
272098038.774	272098039.198	272106549.606	37158	True	False
272106550.808	272106551.198	272106915.527	1528	True	False
272106916.778	272106917.225	272107185.483	881	True	False
272107186.539	272107186.894	272107313.27	603	True	False
272107314.323	272107314.669	272167314.756	92888	False	True
272167314.89	272167315.262	272167345.873	78	True	False
272167346.922	272167347.282	272227347.487	292361	False	True
272227347.733	272227348.091	272230282.361	12419	True	False
272230283.42	272230283.783	272290283.852	110744	False	True
272290283.982	272290284.341	272290341.612	266	True	False
272290342.66	272290343.015	272350343.108	279003	False	True
272350343.48	272350343.834	272350561.851	921	True	False
272350562.901	272350563.25	272382413.974	136068	True	False
272382415.033	272382415.396	272382975.389	3065	True	False
272382976.446	272382976.798	272383009.989	94	True	False
272383011.042	272383011.391	272383089.443	222	True	False
272383090.497	272383090.857	272383128.062	134	True	False
272383129.109	272383129.458	272443129.838	249438	False	True
272443130.0	272443130.362	272503130.449	251184	False	True
272503130.588	272503130.955	272504795.629	7380	True	False
272504796.685	272504797.046	272517891.876	55679	True	False
272517892.937	272517893.371	272517986.385	286	True	False
272517987.477	272517987.844	272518210.485	1103	True	False
272518211.538	272518211.892	272531001.87	61783	True	False
272531002.93	272531003.285	272532491.45	4171	True	False
272532492.501	272532492.859	272532547.107	154	True	False
272532548.156	272532548.506	272543400.934	39547	True	False
272543402.004	272543403.831	272544633.466	5248	True	False
272544634.54	272544634.895	272604635.457	133155	False	True
272604635.573	272604635.931	272629924.715	126409	True	False
272629925.762	272629926.111	272630426.883	2082	True	False
272630427.926	272630428.287	272630793.289	1830	True	False
272630794.345	272630794.698	272630921.941	416	True	False
272630922.995	272630923.355	272631110.106	951	True	False
272631111.159	272631111.507	272691111.579	260948	False	True
272691111.767	272691112.118	272691415.168	672	True	False
272691416.227	272691416.583	272691650.554	997	True	False
272691651.608	272691651.969	272693011.016	5358	True	False
272693012.073	272693012.43	272699834.177	30053	True	False
272699835.226	272699835.576	272700030.72	609	True	False
272700031.819	272700032.177	272700233.827	784	True	False
272700234.879	272700235.228	272731128.024	126946	True	False
272731129.083	272731129.44	272733343.582	9528	True	False
272733344.637	272733344.987	272733386.332	131	True	False
272733387.392	272733387.742	272733498.063	409	True	False
272733499.112	272733499.46	272761938.606	125342	True	False
272761939.656	272761940.022	272761997.063	168	True	False
272761998.108	272761998.458	272762044.582	235	True	False
272762045.636	272762046.01	272776476.13	67230	True	False
272776477.2	272776477.559	272777299.681	2780	True	False
272777300.741	272777301.102	272837301.246	273945	False	True
272837301.468	272837301.826	272837693.733	1513	True	False
272837696.464	272837696.868	272897697.138	245399	False	True
272897697.361	272897697.859	272899853.532	9542	True	False
272899854.587	272899854.939	272904939.295	11776	True	False
272904940.353	272904940.715	272905069.676	560	True	False
272905070.774	272905071.14	272905227.414	671	True	False
272905228.708	272905229.083	272905317.411	429	True	False
272905318.5	272905318.862	272922279.194	66885	True	False
272922280.264	272922280.626	272924877.159	11553	True	False
272924878.218	272924878.572	272929750.501	17738	True	False
272929751.559	272929751.908	272929982.906	909	True	False
272929983.97	272929984.329	272989984.441	270102	False	True
