time_overall_start	time_search_start	time_end	assignments	solution	timeout
226321931.938	226321932.324	226321938.428	40	False	False
226321938.519	226321938.859	226322020.331	582	False	False
226322020.452	226322020.802	226322023.756	17	False	False
226322023.827	226322024.154	226322026.813	15	False	False
226322026.883	226322027.223	226322071.871	294	False	False
226322071.972	226322072.341	226322546.745	3726	False	False
226322546.864	226322547.219	226322547.566	1	False	False
226322547.633	226322547.96	226322861.659	2585	False	False
226322861.776	226322862.122	226322875.532	88	False	False
226322875.607	226322875.946	226322876.283	1	False	False
226322876.359	226322876.709	226322883.469	41	False	False
226322883.545	226322883.882	226322909.491	177	False	False
226322909.6	226322909.947	226323018.176	847	False	False
226323018.288	226323018.641	226323019.497	4	False	False
226323019.564	226323019.889	226327378.758	37737	False	False
226327378.892	226327379.237	226327379.396	0	False	False
226327379.466	226327379.815	226327730.187	2569	False	False
226327730.305	226327730.66	226327731.352	3	False	False
226327731.418	226327731.748	226328494.181	5785	False	False
226328494.298	226328494.653	226328553.674	442	False	False
226328553.79	226328554.141	226328574.233	127	False	False
226328574.321	226328574.674	226328574.837	0	False	False
226328574.908	226328575.24	226329558.294	8565	False	False
226329558.408	226329558.764	226329666.242	823	False	False
226329666.358	226329666.712	226329891.001	1917	False	False
226329891.121	226329891.474	226329946.588	449	False	False
226329946.699	226329947.042	226330836.277	7803	False	False
226330836.387	226330836.732	226330937.296	770	False	False
226330937.415	226330937.771	226331186.549	2068	False	False
226331186.668	226331187.021	226331670.325	3977	False	False
226331670.437	226331670.801	226331749.246	582	False	False
226331749.36	226331749.732	226331762.125	79	False	False
226331762.227	226331762.569	226331808.506	330	False	False
226331808.623	226331808.982	226331816.006	46	False	False
226331816.081	226331816.41	226331903.825	640	False	False
226331903.938	226331904.282	226331945.743	274	False	False
226331945.855	226331946.202	226331948.241	12	False	False
226331948.309	226331948.636	226332052.224	862	False	False
226332052.334	226332052.694	226332458.202	3598	False	False
226332458.319	226332458.667	226333016.861	4501	False	False
226333016.977	226333017.327	226333302.011	2346	False	False
226333302.126	226333302.474	226333306.275	24	False	False
226333306.343	226333306.67	226333422.32	848	False	False
226333422.429	226333422.786	226333425.703	17	False	False
226333425.785	226333426.124	226334823.168	11610	False	False
226334823.281	226334823.625	226335085.419	2213	False	False
226335085.535	226335085.999	226335145.314	424	False	False
226335145.428	226335145.779	226335152.018	39	False	False
226335152.088	226335152.418	226335153.616	6	False	False
226335153.681	226335154.015	226335269.28	895	False	False
226335269.392	226335269.746	226336819.365	13326	False	False
226336819.477	226336819.831	226336936.646	854	False	False
226336936.766	226336937.117	226337104.215	1219	False	False
226337104.334	226337104.688	226337750.723	5151	False	False
226337750.842	226337751.192	226346093.007	71259	False	False
226346093.118	226346093.479	226354411.983	70943	False	False
226354412.1	226354412.455	226355401.587	7961	False	False
226355401.7	226355402.05	226355426.428	168	False	False
226355426.537	226355426.886	226355442.03	96	False	False
226355442.126	226355442.469	226355442.985	2	False	False
226355443.055	226355443.381	226355444.689	7	False	False
226355444.756	226355445.083	226355498.416	399	False	False
226355498.543	226355498.892	226357752.973	19116	False	False
226357753.088	226357753.432	226357766.674	86	False	False
226357766.764	226357767.098	226357767.434	1	False	False
226357767.499	226357767.856	226357963.269	1462	False	False
226357963.38	226357963.725	226358049.633	656	False	False
226358049.753	226358050.106	226358179.667	989	False	False
226358179.789	226358180.147	226358639.289	3801	False	False
226358639.401	226358639.747	226358640.26	2	False	False
226358640.325	226358640.673	226358903.832	1957	False	False
226358903.948	226358904.3	226358911.497	48	False	False
226358911.573	226358911.904	226358913.4	8	False	False
226358913.468	226358913.8	226358915.804	11	False	False
226358915.871	226358916.197	226359042.272	906	False	False
226359042.382	226359042.728	226359726.996	6098	False	False
226359727.117	226359727.479	226359785.715	410	False	False
226359785.83	226359786.181	226359791.955	37	False	False
226359792.03	226359792.36	226359794.037	9	False	False
226359794.103	226359794.429	226359803.474	63	False	False
226359803.544	226359803.874	226360341.242	4354	False	False
226360341.355	226360341.71	226360347.444	36	False	False
226360347.515	226360347.846	226360829.757	4053	False	False
226360829.869	226360830.221	226360831.406	6	False	False
226360831.473	226360831.805	226361095.444	2196	False	False
226361095.557	226361095.916	226361219.714	918	False	False
226361219.825	226361220.17	226361453.661	1776	False	False
226361453.781	226361454.129	226361582.022	987	False	False
226361582.133	226361582.479	226361610.687	186	False	False
226361610.79	226361611.139	226361613.31	12	False	False
226361613.377	226361613.711	226361628.418	92	False	False
226361628.51	226361628.85	226361947.673	2894	True	False
226361948.727	226361949.082	226362054.59	758	False	False
226362054.711	226362055.068	226362056.552	8	False	False
226362056.62	226362056.951	226362059.973	17	False	False
226362060.043	226362060.37	226362066.109	34	False	False
226362066.178	226362066.509	226373822.726	105493	False	False
226373822.841	226373823.197	226373852.818	196	False	False
226373852.918	226373853.264	226374011.626	1295	False	False
226374011.745	226374012.095	226374016.255	26	False	False
226374016.347	226374016.7	226374019.667	18	False	False
226374019.738	226374020.068	226374025.338	32	False	False
226374025.407	226374025.739	226374464.836	3633	False	False
