time_overall_start	time_search_start	time_end	assignments	solution	timeout
202712109.479	202712110.7	202712161.347	821	True	False
202712163.518	202712164.653	202712187.399	268	True	False
202712190.146	202712191.407	202712197.111	85	True	False
202712199.504	202712200.929	202712255.425	859	True	False
202712257.651	202712258.767	202712286.631	383	True	False
202712288.694	202712289.786	202712308.194	283	True	False
202712310.233	202712311.33	202712318.841	114	True	False
202712320.872	202712321.964	202712552.094	3278	True	False
202712554.338	202712555.471	202713948.991	22310	True	False
202713951.138	202713952.253	202713972.211	327	True	False
202713974.287	202713975.389	202713981.616	100	True	False
202713983.669	202713984.769	202714041.302	742	True	False
202714043.402	202714044.521	202714100.774	874	True	False
202714102.868	202714103.965	202714192.434	1434	True	False
202714195.131	202714196.475	202714217.886	331	True	False
202714219.946	202714221.227	202714227.274	99	True	False
202714229.801	202714231.251	202714247.465	270	True	False
202714249.704	202714250.846	202714498.861	3537	True	False
202714501.003	202714502.171	202714704.438	3332	True	False
202714706.876	202714708.149	202714799.17	1419	True	False
202714801.284	202714802.398	202714886.532	1250	True	False
202714888.596	202714889.711	202714916.829	418	True	False
202714918.869	202714919.984	202714927.35	114	True	False
202714929.386	202714930.489	202714941.879	165	True	False
202714944.002	202714945.102	202714962.226	265	True	False
202714964.264	202714965.37	202774965.466	941551	False	True
202774966.662	202774967.78	202775367.843	6297	True	False
202775370.002	202775371.12	202775408.216	574	True	False
202775410.273	202775411.374	202775427.455	258	True	False
202775429.485	202775430.584	202775717.02	4073	True	False
202775719.163	202775720.275	202775726.005	92	True	False
202775728.043	202775729.14	202775745.59	259	True	False
202775747.615	202775748.716	202776606.648	11788	True	False
202776608.8	202776609.917	202776628.222	290	True	False
202776630.268	202776631.38	202776640.06	147	True	False
202776642.092	202776643.187	202776726.247	1223	True	False
202776728.289	202776729.386	202776737.672	130	True	False
202776739.707	202776740.843	202778150.233	22367	True	False
202778152.371	202778153.487	202778163.166	140	True	False
202778165.197	202778166.293	202788680.418	134002	True	False
202788682.607	202788683.718	202788701.747	284	True	False
202788703.794	202788704.896	202829679.689	554379	False	False
202829680.286	202829681.396	202829689.062	127	True	False
202829691.106	202829692.209	202829702.243	168	True	False
202829704.286	202829705.39	202830124.991	5996	True	False
202830127.14	202830128.259	202830138.394	170	True	False
202830140.429	202830141.529	202830160.076	269	True	False
202830162.142	202830163.238	202830259.0	1499	True	False
202830261.093	202830262.196	202830286.774	370	True	False
