time_overall_start	time_search_start	time_end	assignments	solution	timeout
116967397.727	116967398.979	116967471.828	833	True	False
116967474.084	116967475.389	117027475.407	628780	False	True
117027476.373	117027477.544	117028079.641	6253	True	False
117028081.852	117028083.01	117030207.445	24090	False	False
117030208.016	117030209.163	117030446.659	2735	False	False
117030447.231	117030448.379	117031280.02	8170	True	False
117031282.234	117031283.388	117031305.867	268	True	False
117031307.982	117031309.131	117091309.282	619518	False	True
117091310.298	117091311.461	117135317.225	455706	True	False
117135319.432	117135320.6	117135390.863	731	True	False
117135392.993	117135394.144	117135395.52	15	False	False
117135395.976	117135397.104	117195397.182	600175	False	True
117195398.147	117195399.308	117195655.878	2563	True	False
117195658.067	117195659.217	117195662.268	35	False	False
117195662.736	117195663.856	117195715.033	525	True	False
117195717.116	117195718.256	117195790.958	797	True	False
117195793.171	117195794.333	117196371.382	5737	False	False
117196371.957	117196373.11	117256373.305	630943	False	True
117256374.205	117256375.365	117316375.461	628195	False	True
117316376.429	117316377.602	117316487.953	1257	False	False
117316488.516	117316489.699	117317512.766	11584	True	False
117317514.959	117317516.109	117317671.47	1600	True	False
117317673.586	117317674.746	117317816.275	1478	True	False
117317818.387	117317819.525	117377819.707	623928	False	True
117377820.725	117377821.905	117437821.927	632138	False	True
117437822.996	117437824.299	117440013.666	22867	True	False
117440015.895	117440017.055	117440401.628	4082	True	False
117440403.829	117440404.997	117449487.534	94223	True	False
117449489.754	117449490.9	117509490.944	614353	False	True
117509492.028	117509493.202	117569493.243	596538	False	True
117569494.27	117569495.437	117629495.478	631405	False	True
117629496.516	117629497.678	117629531.873	364	True	False
117629533.984	117629535.115	117689535.15	617841	False	True
117689536.423	117689537.579	117689607.319	735	True	False
117689609.413	117689610.551	117691754.56	22595	True	False
117691756.757	117691757.909	117704019.827	119962	True	False
117704022.038	117704023.185	117764023.226	615147	False	True
117764024.198	117764025.368	117764038.298	163	True	False
117764040.423	117764041.554	117766998.915	30907	True	False
117767001.134	117767002.329	117771910.528	52875	True	False
117771912.716	117771913.87	117772006.79	1052	True	False
117772008.92	117772010.066	117772582.283	5996	True	False
117772584.498	117772585.664	117777466.393	51707	False	False
117777466.968	117777468.128	117777472.874	54	False	False
117777473.329	117777474.5	117777767.15	3059	True	False
117777769.286	117777770.455	117826226.395	507285	False	False
117826226.964	117826228.168	117826470.806	2800	False	False
117826471.377	117826472.518	117837533.263	114527	False	False
117837533.85	117837534.99	117837546.494	134	False	False
117837546.964	117837548.101	117837552.334	48	False	False
117837552.784	117837553.908	117837759.378	2143	True	False
117837761.569	117837762.72	117850684.463	139441	False	False
117850685.063	117850686.214	117853245.962	25314	True	False
117853248.156	117853249.321	117853277.423	310	True	False
117853279.562	117853280.71	117855301.877	23096	True	False
117855304.087	117855305.246	117855503.407	1997	True	False
117855505.567	117855506.721	117915506.758	616138	False	True
117915507.662	117915508.819	117975508.837	635639	False	True
117975509.727	117975510.899	117975516.519	76	True	False
117975518.639	117975519.777	117977724.417	22734	True	False
117977726.65	117977727.814	117977737.498	117	True	False
117977739.579	117977740.775	118037740.861	607998	False	True
118037741.886	118037743.053	118097743.072	633370	False	True
118097743.949	118097745.103	118097806.944	701	True	False
118097809.056	118097810.204	118157810.31	622223	False	True
118157811.238	118157812.395	118217812.489	653448	False	True
118217813.397	118217814.559	118217844.766	325	True	False
118217846.927	118217848.077	118218708.231	9482	True	False
118218710.436	118218711.609	118231962.232	139815	False	False
118231962.817	118231963.968	118232099.358	1384	True	False
118232101.495	118232102.636	118232227.644	1303	True	False
118232229.73	118232230.864	118239795.411	81894	False	False
118239796.012	118239797.153	118239916.066	1254	True	False
118239918.269	118239919.422	118241611.291	17258	True	False
118241613.497	118241614.742	118241674.0	690	False	False
118241674.493	118241675.619	118241693.308	209	True	False
118241695.384	118241696.521	118241728.321	349	True	False
118241730.448	118241731.588	118241951.983	2270	True	False
118241954.18	118241955.342	118242053.089	1118	False	False
118242053.623	118242054.776	118302054.998	656603	False	True
118302055.908	118302057.087	118362057.107	600929	False	True
118362058.173	118362059.345	118362307.565	2548	True	False
118362309.824	118362310.977	118362424.239	1121	True	False
118362426.357	118362427.498	118422428.082	621654	False	True
118422429.134	118422430.293	118422439.018	110	True	False
118422441.099	118422442.238	118423123.727	7715	False	False
118423124.33	118423125.479	118483125.556	580624	False	True
118483126.819	118483127.978	118483303.315	1767	True	False
118483305.466	118483306.611	118487904.569	48156	True	False
118487906.791	118487907.952	118505676.403	190986	False	False
